card_id	fx_identifier	source
Cards.Artifact.AbyssianRelic	FX.Cards.Artifact.AbyssianRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.AdamantineClaws	FX.Cards.Artifact.AdamantineClaws	app/sdk/cards/factory/core/faction5.coffee
Cards.Artifact.AngryRebirthAmulet	FX.Cards.Artifact.HornOfTheForsaken	app/sdk/cards/factory/unity/faction4.coffee
Cards.Artifact.AnimusPlate	FX.Cards.Artifact.AnimusPlate	app/sdk/cards/factory/wartech/faction6.coffee
Cards.Artifact.AnkhFireNova	FX.Cards.Artifact.AnkhFireNova	app/sdk/cards/factory/core/faction3.coffee
Cards.Artifact.ArclyteRegalia	FX.Cards.Artifact.ArclyteRegalia	app/sdk/cards/factory/core/faction1.coffee
Cards.Artifact.BackstabGloves	FX.Cards.Artifact.EnergyAmulet	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Artifact.CrescentSpear	FX.Cards.Artifact.CrescentSpear	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Artifact.DawnsEye	FX.Cards.Artifact.DawnsEye	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Artifact.EggArmor	FX.Cards.Artifact.OblivionSickle	app/sdk/cards/factory/coreshatter/faction5.coffee
Cards.Artifact.EnergyAmulet	FX.Cards.Artifact.EnergyAmulet	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Artifact.EternalHeart	FX.Cards.Artifact.EternalHeart	app/sdk/cards/factory/firstwatch/faction5.coffee
Cards.Artifact.Frostbiter	FX.Cards.Artifact.Frostbiter	app/sdk/cards/factory/core/faction6.coffee
Cards.Artifact.FurorChakram	FX.Cards.Artifact.FurorChakram	app/sdk/cards/factory/wartech/faction4.coffee
Cards.Artifact.GhostAzalea	FX.Cards.Artifact.GhostAzalea	app/sdk/cards/factory/shimzar/faction4.coffee
Cards.Artifact.GoldVitriol	FX.Cards.Artifact.SunstoneBracers	app/sdk/cards/factory/unity/faction1.coffee
Cards.Artifact.GrowthBangle	FX.Cards.Artifact.SunstoneBracers	app/sdk/cards/factory/unity/faction5.coffee
Cards.Artifact.HaloBulwark	FX.Cards.Artifact.HaloBulwark	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Artifact.HornOfTheForsaken	FX.Cards.Artifact.HornOfTheForsaken	app/sdk/cards/factory/core/faction4.coffee
Cards.Artifact.IndomitableWill	FX.Cards.Artifact.IndomitableWill	app/sdk/cards/factory/core/faction1.coffee
Cards.Artifact.IrisBarrier	FX.Cards.Artifact.IrisBarrier	app/sdk/cards/factory/wartech/faction3.coffee
Cards.Artifact.LyonarRelic	FX.Cards.Artifact.LyonarRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.MagmarRelic	FX.Cards.Artifact.MagmarRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.MaskOfBloodLeech	FX.Cards.Artifact.MaskOfBloodLeech	app/sdk/cards/factory/core/faction2.coffee
Cards.Artifact.MaskOfCelerity	FX.Cards.Artifact.MaskOfShadows	app/sdk/cards/factory/unity/faction2.coffee
Cards.Artifact.MaskOfShadows	FX.Cards.Artifact.MaskOfShadows	app/sdk/cards/factory/core/faction2.coffee
Cards.Artifact.MaskOfTranscendance	FX.Cards.Artifact.MaskOfTranscendance	app/sdk/cards/factory/core/faction2.coffee
Cards.Artifact.Mindlathe	FX.Cards.Artifact.Mindlathe	app/sdk/cards/factory/firstwatch/faction4.coffee
Cards.Artifact.MorinKhur	FX.Cards.Artifact.MorinKhur	app/sdk/cards/factory/shimzar/faction5.coffee
Cards.Artifact.NeutralRelic	FX.Cards.Artifact.NeutralRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.OblivionSickle	FX.Cards.Artifact.OblivionSickle	app/sdk/cards/factory/firstwatch/faction3.coffee
Cards.Artifact.OrnateHiogi	FX.Cards.Artifact.OrnateHiogi	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Artifact.PoisonHexblade	FX.Cards.Artifact.PoisonHexblade	app/sdk/cards/factory/core/faction3.coffee
Cards.Artifact.PristineScale	FX.Cards.Artifact.PristineScale	app/sdk/cards/factory/core/faction5.coffee
Cards.Artifact.RageReactor	FX.Cards.Artifact.RageReactor	app/sdk/cards/factory/wartech/faction5.coffee
Cards.Artifact.RepairSword	FX.Cards.Artifact.Winterblade	app/sdk/cards/factory/coreshatter/faction3.coffee
Cards.Artifact.ShatteringHeart	FX.Cards.Artifact.Frostbiter	app/sdk/cards/factory/unity/faction6.coffee
Cards.Artifact.SnowChipper	FX.Cards.Artifact.OblivionSickle	app/sdk/cards/factory/coreshatter/faction6.coffee
Cards.Artifact.Snowpiercer	FX.Cards.Artifact.Snowpiercer	app/sdk/cards/factory/core/faction6.coffee
Cards.Artifact.SonghaiRelic	FX.Cards.Artifact.SonghaiRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.SoulGrimwar	FX.Cards.Artifact.SoulGrimwar	app/sdk/cards/factory/core/faction4.coffee
Cards.Artifact.SpectralBlade	FX.Cards.Artifact.SpectralBlade	app/sdk/cards/factory/core/faction4.coffee
Cards.Artifact.Spinecleaver	FX.Cards.Artifact.StaffOfYKir	app/sdk/cards/factory/shimzar/faction3.coffee
Cards.Artifact.StaffOfYKir	FX.Cards.Artifact.StaffOfYKir	app/sdk/cards/factory/core/faction3.coffee
Cards.Artifact.SunbondPavise	FX.Cards.Artifact.SunbondPavise	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Artifact.SunstoneBracers	FX.Cards.Artifact.SunstoneBracers	app/sdk/cards/factory/core/faction1.coffee
Cards.Artifact.TheDredger	FX.Cards.Artifact.TheDredger	app/sdk/cards/factory/firstwatch/faction6.coffee
Cards.Artifact.Thunderclap	FX.Cards.Artifact.HornOfTheForsaken	app/sdk/cards/factory/unity/faction3.coffee
Cards.Artifact.TwinFang	FX.Cards.Artifact.TwinFang	app/sdk/cards/factory/core/faction5.coffee
Cards.Artifact.TwoHander	FX.Cards.Artifact.SunstoneBracers	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Artifact.VanarRelic	FX.Cards.Artifact.VanarRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.VetruvianRelic	FX.Cards.Artifact.VetruvianRelic	app/sdk/cards/factory/wartech/neutral.coffee
Cards.Artifact.WhiteAsp	FX.Cards.Artifact.WhiteAsp	app/sdk/cards/factory/shimzar/faction6.coffee
Cards.Artifact.Winterblade	FX.Cards.Artifact.Winterblade	app/sdk/cards/factory/core/faction6.coffee
Cards.Artifact.WraithlingAmulet	FX.Cards.Artifact.Mindlathe	app/sdk/cards/factory/coreshatter/faction4.coffee
Cards.Boss.Boss1	FX.Cards.Faction5.Dreadnaught	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss10	FX.Cards.Neutral.WarTalon	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss11	FX.Cards.Neutral.EMP	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss12	FX.Cards.Neutral.ArchonSpellbinder	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss12Idol	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss13	FX.Cards.Neutral.TheHighHand	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss14	FX.Cards.Faction4.BlackSolus	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss15	FX.Cards.Neutral.EXun	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss16	FX.Cards.Neutral.Chakkram	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss17	FX.Cards.Neutral.WhiteWidow	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss18	FX.Cards.Neutral.Serpenti	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss19	FX.Cards.Faction4.ArcaneDevourer	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss2	FX.Cards.Neutral.MirkbloodDevourer	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss20	FX.Cards.Neutral.FlameWing	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss21	FX.Cards.Faction4.AbyssalCrawler	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss22	FX.Cards.Faction1.ArclyteSentinel	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss23	FX.Cards.Faction5.PrimordialGazer	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss24	FX.Cards.Neutral.SwornAvenger	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss24Valiant	FX.Cards.Neutral.SwornDefender	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss25	FX.Cards.Neutral.QuartermasterGauj	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss26	FX.Cards.Neutral.BloodTaura	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss26Companion	FX.Cards.Faction1.RadiantDragoon	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss27	FX.Cards.Neutral.Tethermancer	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss28	FX.Cards.Faction5.EarthWalker	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss29	FX.Cards.Faction3.Pantheran	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss3	FX.Cards.Faction1.CaliberO	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss30	FX.Cards.Faction1.LysianBrawler	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31	FX.Cards.Faction4.DeathKnell	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Haunt1	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Haunt2	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Haunt3	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Treat1	FX.Cards.Faction2.OnyxBear	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Treat2	FX.Cards.Faction2.OnyxBear	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss31Treat3	FX.Cards.Faction2.OnyxBear	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss32	FX.Cards.Faction6.PrismaticGiant	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss32_2	FX.Cards.Neutral.Zyx	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss33	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss33_1	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss33_2	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss33_3	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss33_4	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss34	FX.Cards.Faction2.JadeOgre	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss34_2	FX.Cards.Faction2.JadeOgre	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss35	FX.Cards.Neutral.Pandora	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss36	FX.Cards.Faction3.GrandmasterNoshRak	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss36_2	FX.Cards.Faction1.IroncliffeGuardian	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss36_3	FX.Cards.Faction3.BrazierDuskWind	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss37	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss38	FX.Cards.Neutral.Grailmaster	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss4	FX.Cards.Neutral.Ironclad	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss5	FX.Cards.Faction2.GrandmasterZendo	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6	FX.Cards.Neutral.Mechaz0rHelm	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6Chassis	FX.Cards.Neutral.Mechaz0rChassis	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6Helm	FX.Cards.Neutral.Mechaz0rHelm	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6Prime	FX.Cards.Neutral.AlterRexx	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6Sword	FX.Cards.Neutral.Mechaz0rSword	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss6Wings	FX.Cards.Neutral.Mechaz0rWings	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss7	FX.Cards.Faction1.CaliberO	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss8	FX.Cards.Neutral.NightWatcher	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss9	FX.Cards.Neutral.EXun	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.Boss9Clone	FX.Cards.Neutral.EXun	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.FrostfireImp	FX.Cards.Neutral.Zyx	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.FrostfireSnowchaser	FX.Cards.Faction6.SnowElemental	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.FrostfireTiger	FX.Cards.Neutral.SaberspineTiger	app/sdk/cards/factory/misc/bosses.coffee
Cards.Boss.QABoss3	FX.Cards.Faction1.CaliberO	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.Coal	FX.Cards.Artifact.PristineScale	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.CostReducer	FX.Cards.Artifact.SoulGrimwar	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.CycloneGenerator	FX.Cards.Artifact.IndomitableWill	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.FlyingBells	FX.Cards.Artifact.MaskOfShadows	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.FrostArmor	FX.Cards.Artifact.ArclyteRegalia	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossArtifact.Snowball	FX.Cards.Artifact.EternalHeart	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.AncientKnowledge	FX.Cards.Spell.AncientKnowledge	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.EntanglingShadow	FX.Cards.Spell.EntanglingShadow	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.EtherealWind	FX.Cards.Spell.EtherealWind	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.HolidayGift	FX.Cards.Spell.AutarchsGifts	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.LaceratingFrost	FX.Cards.Spell.LaceratingFrost	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.LivingFlame	FX.Cards.Spell.LivingFlame	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.MoldingEarth	FX.Cards.Spell.MoldingEarth	app/sdk/cards/factory/misc/bosses.coffee
Cards.BossSpell.RestoringLight	FX.Cards.Spell.RestoringLight	app/sdk/cards/factory/misc/bosses.coffee
Cards.Faction1.AlabasterTitan	FX.Cards.Neutral.BloodTaura	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.AltGeneral	FX.Cards.Faction1.ZiranSunforge	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.ArclyteSentinel	FX.Cards.Faction1.ArclyteSentinel	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.Auroara	FX.Cards.Neutral.Tethermancer	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.AzuriteLion	FX.Cards.Faction1.AzuriteLion	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.CatapultGryphon	FX.Cards.Neutral.WingsOfParadise	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.DecoratedEnlistee	FX.Cards.Neutral.Chakkram	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.ElyxStormblade	FX.Cards.Faction1.ElyxStormblade	app/sdk/cards/factory/core/faction1.coffee
