name	value
UnitSpawnFX	UnitSpawnFX
UnitDiedFX	UnitDiedFX
UnitPrimaryAttackedFX	UnitPrimaryAttackedFX
UnitAttackedFX	UnitAttackedFX
UnitDamagedFX	UnitDamagedFX
UnitHealedFX	UnitHealedFX
SpellCastFX	SpellCastFX
SpellAutoFX	SpellAutoFX
SpellAppliedFX	SpellAppliedFX
SpellAppliedFriendFX	SpellAppliedFriendFX
SpellAppliedEnemyFX	SpellAppliedEnemyFX
SpellDamagedFX	SpellDamagedFX
SpellHealedFX	SpellHealedFX
ArtifactAppliedFX	ArtifactAppliedFX
ArtifactFX	ArtifactFX
ModifierFX	ModifierFX
ModifierAppliedFX	ModifierAppliedFX
ModifierTriggeredFX	ModifierTriggeredFX
ModifierTriggeredSourceFX	ModifierTriggeredSourceFX
ModifierTriggeredTargetFX	ModifierTriggeredTargetFX
ModifierRemovedFX	ModifierRemovedFX
GameFX	GameFX
SourceFX	SourceFX
TargetFX	TargetFX
MoveSourceFX	MoveSourceFX
MoveTargetFX	MoveTargetFX
MoveFX	MoveFX
