rsx_key	frameDelay	framePrefix
BloodExplosionBig	0.04	fx_bloodbig_
BloodExplosionMedium	0.08	fx_bloodmedium_
FloatingShield	0.2	fx_floatingshield_
ForceField	0.1	fx_forcefield_
animation_alias	0.08	animation_frame_name_
bossAndromedaAttack	0.08	boss_andromeda_attack_
bossAndromedaBreathing	0.13	boss_andromeda_breathing_
bossAndromedaDeath	0.08	boss_andromeda_death_
bossAndromedaHit	0.08	boss_andromeda_hit_
bossAndromedaIdle	0.08	boss_andromeda_idle_
bossAndromedaRun	0.08	boss_andromeda_run_
bossAntiswarmAttack	0.08	boss_antiswarm_attack_
bossAntiswarmBreathing	0.09	boss_antiswarm_breathing_
bossAntiswarmDeath	0.08	boss_antiswarm_death_
bossAntiswarmHit	0.08	boss_antiswarm_hit_
bossAntiswarmIdle	0.08	boss_antiswarm_idle_
bossAntiswarmRun	0.08	boss_antiswarm_run_
bossBorealJuggernautAttack	0.08	boss_borealjuggernaut_attack_
bossBorealJuggernautBreathing	0.09	boss_borealjuggernaut_breathing_
bossBorealJuggernautDeath	0.08	boss_borealjuggernaut_death_
bossBorealJuggernautHit	0.08	boss_borealjuggernaut_hit_
bossBorealJuggernautIdle	0.08	boss_borealjuggernaut_idle_
bossBorealJuggernautRun	0.08	boss_borealjuggernaut_run_
bossCandyPandaAttack	0.08	boss_candypanda_attack_
bossCandyPandaBreathing	0.14	boss_candypanda_breathing_
bossCandyPandaDamage	0.08	boss_candypanda_hit_
bossCandyPandaDeath	0.08	boss_candypanda_death_
bossCandyPandaIdle	0.08	boss_candypanda_idle_
bossCandyPandaRun	0.08	boss_candypanda_run_
bossChaosKnightAttack	0.08	boss_chaosknight_attack_
bossChaosKnightBreathing	0.13	boss_chaosknight_breathing_
bossChaosKnightDeath	0.08	boss_chaosknight_death_
bossChaosKnightHit	0.08	boss_chaosknight_hit_
bossChaosKnightIdle	0.08	boss_chaosknight_idle_
bossChaosKnightRun	0.08	boss_chaosknight_run_
bossChristmasAttack	0.08	boss_christmas_attack_
bossChristmasBreathing	0.14	boss_christmas_breathing_
bossChristmasCoalActive	0.08	boss_christmas_coal_active_
bossChristmasCoalIdle	0.16	boss_christmas_coal_
bossChristmasDamage	0.08	boss_christmas_hit_
bossChristmasDeath	0.08	boss_christmas_death_
bossChristmasIdle	0.08	boss_christmas_idle_
bossChristmasJinglebellsActive	0.08	boss_christmas_jinglebells_active_
bossChristmasJinglebellsIdle	0.16	boss_christmas_jinglebells_
bossChristmasMistletoeActive	0.08	boss_christmas_mistletoe_active_
bossChristmasMistletoeIdle	0.16	boss_christmas_mistletoe_
bossChristmasPresentActive	0.08	boss_christmas_present_active_
bossChristmasPresentIdle	0.16	boss_christmas_present_
bossChristmasRun	0.08	boss_christmas_run_
bossChristmasSnowballActive	0.08	boss_christmas_snowball_active_
bossChristmasSnowballIdle	0.16	boss_christmas_snowball_
bossCinderaAttack	0.08	boss_cindera_attack_
bossCinderaBreathing	0.09	boss_cindera_breathing_
bossCinderaDeath	0.08	boss_cindera_death_
bossCinderaHit	0.08	boss_cindera_hit_
bossCinderaIdle	0.08	boss_cindera_idle_
bossCinderaRun	0.08	boss_cindera_run_
bossCityAttack	0.08	boss_city_attack_
bossCityBreathing	0.12	boss_city_breathing_
bossCityDamage	0.08	boss_city_hit_
bossCityDeath	0.08	boss_city_death_
bossCityIdle	0.08	boss_city_idle_
bossCrystalAttack	0.08	boss_crystal_attack_
bossCrystalBreathing	0.16	boss_crystal_breathing_
bossCrystalDamage	0.08	boss_crystal_hit_
bossCrystalDeath	0.08	boss_crystal_death_
bossCrystalIdle	0.08	boss_crystal_idle_
bossCrystalRun	0.07	boss_crystal_run_
bossDecepticleAttack	0.08	boss_decepticle_attack_
bossDecepticleBreathing	0.09	boss_decepticle_breathing_
bossDecepticleChassisAttack	0.08	boss_decepticlechassis_attack_
bossDecepticleChassisBreathing	0.14	boss_decepticlechassis_breathing_
bossDecepticleChassisDeath	0.08	boss_decepticlechassis_death_
bossDecepticleChassisHit	0.08	boss_decepticlechassis_hit_
bossDecepticleChassisIdle	0.08	boss_decepticlechassis_idle_
bossDecepticleChassisRun	0.08	boss_decepticlechassis_run_
bossDecepticleDeath	0.08	boss_decepticle_death_
bossDecepticleHelmAttack	0.08	boss_decepticlehelm_attack_
bossDecepticleHelmBreathing	0.13	boss_decepticlehelm_breathing_
bossDecepticleHelmDeath	0.08	boss_decepticlehelm_death_
bossDecepticleHelmHit	0.08	boss_decepticlehelm_hit_
bossDecepticleHelmIdle	0.08	boss_decepticlehelm_idle_
bossDecepticleHelmRun	0.08	boss_decepticlehelm_run_
bossDecepticleHit	0.08	boss_decepticle_hit_
bossDecepticleIdle	0.08	boss_decepticle_idle_
bossDecepticlePrimeAttack	0.08	boss_decepticleprime_attack_
bossDecepticlePrimeBreathing	0.1	boss_decepticleprime_breathing_
bossDecepticlePrimeDeath	0.08	boss_decepticleprime_death_
bossDecepticlePrimeHit	0.08	boss_decepticleprime_hit_
bossDecepticlePrimeIdle	0.08	boss_decepticleprime_idle_
bossDecepticlePrimeRun	0.08	boss_decepticleprime_run_
bossDecepticleRun	0.08	boss_decepticle_run_
bossDecepticleSwordAttack	0.08	boss_decepticlesword_attack_
bossDecepticleSwordBreathing	0.14	boss_decepticlesword_breathing_
bossDecepticleSwordDeath	0.08	boss_decepticlesword_death_
bossDecepticleSwordHit	0.08	boss_decepticlesword_hit_
bossDecepticleSwordIdle	0.08	boss_decepticlesword_idle_
bossDecepticleSwordRun	0.08	boss_decepticlesword_run_
bossDecepticleWingsAttack	0.08	boss_decepticlewings_attack_
bossDecepticleWingsBreathing	0.14	boss_decepticlewings_breathing_
bossDecepticleWingsDeath	0.08	boss_decepticlewings_death_
bossDecepticleWingsHit	0.08	boss_decepticlewings_hit_
bossDecepticleWingsIdle	0.08	boss_decepticlewings_idle_
bossDecepticleWingsProjectile	0.08	boss_decepticlewings_projectile_
bossDecepticleWingsRun	0.08	boss_decepticlewings_run_
bossDissonanceAttack	0.08	boss_dissonance_attack_
bossDissonanceBreathing	0.09	boss_dissonance_breathing_
bossDissonanceDeath	0.08	boss_dissonance_death_
bossDissonanceHit	0.08	boss_dissonance_hit_
bossDissonanceIdle	0.08	boss_dissonance_idle_
bossDissonanceRun	0.08	boss_dissonance_run_
bossEMPAttack	0.08	boss_emp_attack_
bossEMPBreathing	0.09	boss_emp_breathing_
bossEMPDeath	0.08	boss_emp_death_
bossEMPHit	0.08	boss_emp_hit_
bossEMPIdle	0.08	boss_emp_idle_
bossEMPRun	0.08	boss_emp_run_
bossGolAttack	0.08	boss_gol_attack_
bossGolBreathing	0.09	boss_gol_breathing_
bossGolDeath	0.08	boss_gol_death_
bossGolHit	0.08	boss_gol_hit_
bossGolIdle	0.08	boss_gol_idle_
bossGolRun	0.08	boss_gol_run_
bossGrymAttack	0.08	boss_grym_attack_
bossGrymBreathing	0.09	boss_grym_breathing_
bossGrymDeath	0.08	boss_grym_death_
bossGrymHit	0.08	boss_grym_hit_
bossGrymIdle	0.08	boss_grym_idle_
bossGrymRun	0.08	boss_grym_run_
bossHarmonyAttack	0.08	boss_harmony_attack_
bossHarmonyBreathing	0.09	boss_harmony_breathing_
bossHarmonyDeath	0.08	boss_harmony_death_
bossHarmonyHit	0.08	boss_harmony_hit_
bossHarmonyIdle	0.08	boss_harmony_idle_
bossHarmonyRun	0.08	boss_harmony_run_
bossInvaderAttack	0.08	boss_invader_attack_
bossInvaderBreathing	0.09	boss_invader_breathing_
bossInvaderDeath	0.08	boss_invader_death_
bossInvaderHit	0.08	boss_invader_hit_
bossInvaderIdle	0.08	boss_invader_idle_
bossInvaderRun	0.08	boss_invader_run_
bossKaneAttack	0.08	boss_kane_attack_
bossKaneBreathing	0.09	boss_kane_breathing_
bossKaneDeath	0.08	boss_kane_death_
bossKaneHit	0.08	boss_kane_hit_
