constant	value	category
CONFIG.ACHIEVEMENT_NOTIFICATION_DURATION	6	duration
CONFIG.ACTION_DELAY	0.5	delay
CONFIG.ACTION_EXCLAMATION_MARK_DURATION	1.2	duration
CONFIG.ACTION_INSTRUCTIONAL_ARROW_DURATION	0.75	duration
CONFIG.ACTIVE_GAME_DELAY	1.5	delay
CONFIG.ANIMATE_FAST_DURATION	0.2	animate
CONFIG.ANIMATE_MEDIUM_DURATION	0.35	animate
CONFIG.ANIMATE_SLOW_DURATION	1.0	animate
CONFIG.ANNOUNCER_DURATION	1.2	duration
CONFIG.ATTACKABLE_TARGET_GLOW_COLOR_TO	{r: 255, g: 50, b: 40}	attack
CONFIG.ATTACKABLE_TARGET_GLOW_COLOR_TO	{ r: 255, g: 210, b: 180 }	attack
CONFIG.ATTACKABLE_TARGET_GLOW_EXPAND_MODIFIER	2.25	attack
CONFIG.ATTACKABLE_TARGET_GLOW_RAMP_FROM	{r: 255, g: 50, b: 40}	attack
CONFIG.ATTACKABLE_TARGET_GLOW_RAMP_FROM	{ r: 255, g: 210, b: 180 }	attack
CONFIG.ATTACKABLE_TARGET_GLOW_RAMP_NOISE_COLOR	{ r: 255, g: 210, b: 180 }	attack
CONFIG.ATTACKABLE_TARGET_GLOW_RAMP_TRANSITION	{r: 255, g: 50, b: 40}	attack
CONFIG.ATTACKABLE_TARGET_GLOW_RAMP_TRANSITION	{ r: 255, g: 210, b: 180 }	attack
CONFIG.ATTACK_FX_TEMPLATE	[
  {
    // type: "LensFlare",
    /// /blendSrc: "SRC_ALPHA",
    /// /blendDst: "ONE",
    // color: { r: 255, g: 20, b: 40 },
    // speed: 1.0,
    // scale: 3.0
  },
]	attack
CONFIG.BUDDY_MESSAGES_PREVIEW_DURATION	5	duration
CONFIG.BUDDY_MESSAGES_PREVIEW_FADE_DURATION	0.3	fade
CONFIG.BURN_CARD_DELAY	0.25	delay
CONFIG.BURN_CARD_DISSOLVE_DURATION	0.75	fade
CONFIG.BURN_CARD_SHOW_DURATION	0.25	duration
CONFIG.DIALOGUE_ENTER_DURATION	0.3	duration
CONFIG.DIALOGUE_HAND_FULL_DURATION	1.0	duration
CONFIG.DIALOGUE_OUT_OF_CARDS_DURATION	1.0	duration
CONFIG.DIALOGUE_PROCEED_PULSE_DELAY	2.5	delay
CONFIG.DIALOGUE_RESIGN_DURATION	2.0	duration
CONFIG.DRAGGING_DELAY	0.1	delay
CONFIG.EMOTE_DELAY	5	delay
CONFIG.EMOTE_DURATION	3	duration
CONFIG.ENTITY_ATTACK_DURATION_MODIFIER	1.0	attack
CONFIG.ENTITY_MOVE_CORRECTION	0.2	movement
CONFIG.ENTITY_MOVE_DURATION_MODIFIER	1.0	movement
CONFIG.ENTITY_MOVE_FLYING_FIXED_TILE_COUNT	3.0	movement
CONFIG.ENTITY_MOVE_MODIFIER_MAX	1.0	movement
CONFIG.ENTITY_MOVE_MODIFIER_MIN	0.75	movement
CONFIG.ENTITY_STATS_CHANGE_DELAY	0.75	delay
CONFIG.FADE_FAST_DURATION	CONFIG.ANIMATE_FAST_DURATION	fade
CONFIG.FADE_MEDIUM_DURATION	CONFIG.ANIMATE_MEDIUM_DURATION	fade
