unit_folder	event_type	sound_file
boss_andromeda	apply	sfx_summonlegendary
boss_andromeda	attack	sfx_neutral_pandora_attack_swing
boss_andromeda	attackDamage	sfx_neutral_pandora_attack_impact
boss_andromeda	death	sfx_neutral_pandora_death
boss_andromeda	receiveDamage	sfx_neutral_pandora_hit
boss_andromeda	walk	sfx_neutral_ladylocke_attack_impact
boss_antiswarm	apply	sfx_screenshake
boss_antiswarm	attack	sfx_neutral_primordialgazer_attack_swing
boss_antiswarm	attackDamage	sfx_neutral_primordialgazer_attack_impact
boss_antiswarm	death	sfx_neutral_primordialgazer_death
boss_antiswarm	receiveDamage	sfx_neutral_primordialgazer_hit
boss_antiswarm	walk	sfx_neutral_ladylocke_attack_impact
boss_borealjuggernaut	apply	sfx_summonlegendary
boss_borealjuggernaut	attack	sfx_neutral_rook_attack_impact
boss_borealjuggernaut	attackDamage	sfx_neutral_silitharveteran_attack_impact
boss_borealjuggernaut	death	sfx_neutral_makantorwarbeast_death
boss_borealjuggernaut	receiveDamage	sfx_neutral_makantorwarbeast_hit
boss_borealjuggernaut	walk	sfx_neutral_silitharveteran_death
boss_candypanda	apply	sfx_spell_deathstrikeseal
boss_candypanda	attack	sfx_f2_jadeogre_attack_swing
boss_candypanda	attackDamage	sfx_neutral_spelljammer_attack_impact
boss_candypanda	death	sfx_neutral_spelljammer_death
boss_candypanda	receiveDamage	sfx_neutral_spelljammer_hit
boss_candypanda	walk	sfx_neutral_luxignis_hit
boss_chaosknight	apply	sfx_spell_immolation_b
boss_chaosknight	attack	sfx_f1_ironcliffeguardian_attack_swing
boss_chaosknight	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
boss_chaosknight	death	sfx_f1_ironcliffeguardian_death
boss_chaosknight	receiveDamage	sfx_f1_ironcliffeguardian_hit
boss_chaosknight	walk	sfx_unit_run_charge_4
boss_christmas	apply	sfx_ui_booster_packexplode
boss_christmas	attack	sfx_f6_draugarlord_attack_swing_
boss_christmas	attackDamage	sfx_f6_draugarlord_attack_impact_
boss_christmas	death	sfx_f6_draugarlord_death
boss_christmas	receiveDamage	sfx_f6_draugarlord_hit
boss_christmas	walk	sfx_unit_physical_4
boss_cindera	apply	sfx_f4_blacksolus_attack_swing
boss_cindera	attack	sfx_f3_aymarahealer_attack_swing
boss_cindera	attackDamage	sfx_f3_aymarahealer_impact
boss_cindera	death	sfx_f3_aymarahealer_death
boss_cindera	receiveDamage	sfx_f3_aymarahealer_hit
boss_cindera	walk	sfx_neutral_ladylocke_attack_impact
boss_city	apply	sfx_spell_divineblood
boss_city	attack	sfx_neutral_monsterdreamoracle_attack_swing
boss_city	attackDamage	sfx_f1_general_attack_impact
boss_city	death	sfx_neutral_golembloodshard_death
boss_city	receiveDamage	sfx_neutral_monsterdreamoracle_hit
boss_city	walk	sfx_neutral_ladylocke_attack_impact
boss_crystal	apply	sfx_spell_immolation_b
boss_crystal	attack	sfx_f2_stormkage_attack_swing
boss_crystal	attackDamage	sfx_f2_mage4winds_impact
boss_crystal	death	sfx_f2_stormkage_death
boss_crystal	receiveDamage	sfx_f2_stormkage_hit
boss_crystal	walk	sfx_unit_run_charge_4
boss_decepticle	apply	sfx_spell_diretidefrenzy
boss_decepticle	attack	sfx_neutral_wingsmechaz0r_attack_swing
boss_decepticle	attackDamage	sfx_neutral_wingsmechaz0r_impact
boss_decepticle	death	sfx_neutral_wingsmechaz0r_hit
