unit_folder	inherits_from
f1_altgeneraltier2	f1_altgeneral
f1_bromemk2	f1_general
f1_elyxstormblademk2	f1_elyxstormblade
f1_general_skinroguelegacy	f1_general
f1_tier2general	f1_general
f1_xylestormblade	f1_general
f2_altgeneraltier2	f2_altgeneral
f2_general_skindogehai	f2_general
f2_shidaimk2	f2_general
f2_tier2general	f2_general
f3_altgeneraltier2	f3_altgeneral
f3_ciphyronmk2	f3_general
f3_tier2general	f3_general
f3_zirixfestive	f3_general
f4_altgeneraltier2	f4_altgeneral
f4_maehvmk2	f4_general
f4_tier2general	f4_general
f5_altgeneraltier2	f5_altgeneral
f5_ragnoramk2	f5_general
f5_tier2general	f5_general
f6_altgeneraltier2	f6_altgeneral
f6_faiefestive	f6_general
f6_ilenamk2	f6_general
f6_tier2general	f6_general
neutral_healingmysticbandainamco	neutral_healingmystic
neutral_healingmystictwitch	neutral_healingmystic
neutral_keeperofthevalue	neutral_maw
neutral_mercmelee1	neutral_maw
neutral_mercmelee4	neutral_maw
neutral_mercpiratebeast	neutral_maw
neutral_mercranged1	neutral_maw
neutral_sarlacmk2	neutral_maw
neutral_shadow2	neutral_maw
neutral_shadow3	neutral_maw
neutral_shadowranged	neutral_maw
neutral_spellsammermk2	neutral_spelljammer
neutral_tribalmelee1	neutral_maw
neutral_tribalmelee4	neutral_maw
neutral_tribalranged2	neutral_maw
