id	class_name	title	description	progress_required	reward_type	reward_amount	enabled	trigger_type	category
bronze_special_purchased	ShopAchievement	i18next:achievements.bronze_starter_bundle_title	i18next:achievements.bronze_starter_bundle_desc	1	cards	multiple	True	armory	armory
gold_special_purchased	ShopAchievement	i18next:achievements.gold_starter_bundle_title	i18next:achievements.gold_starter_bundle_desc	1	cards	multiple	True	armory	armory
namaste	NamasteAchievement	i18next:achievements.namaste_title	i18next:achievements.namaste_desc	1	gold	100 # TODO: will be snowchaser	False	armory	armory
silver_special_purchased	ShopAchievement	i18next:achievements.silver_starter_bundle_title	i18next:achievements.silver_starter_bundle_desc	1	cards	multiple	True	armory	armory
welcomeToCrafting	WelcomeToCraftingAchievement	i18next:achievements.welcome_to_crafting_title	i18next:achievements.welcome_to_crafting_desc	1	spirit	90	False	disenchanting	crafting
bloodborn	BloodbornAchievement	i18next:achievements.bloodborn_title	i18next:achievements.bloodborn_desc	1	spiritOrb	1	False	faction_progress	faction progress
worldExplorer	WorldExplorerAchievement	i18next:achievements.world_explorer_title	i18next:achievements.world_explorer_desc	1	factionLegendaryCard	1	True	faction_progress	faction progress
bestOfFriends	BestOfFriendsAchievement	i18next:achievements.best_of_friends_title	i18next:achievements.best_of_friends_desc	1	spiritOrb	1	True	game	game
enteringGauntletAchievement	EnteringGauntletAchievement	i18next:achievements.entering_gauntlet_title	i18next:achievements.entering_gauntlet_desc	20	gauntletTicket	1	True	game	game
helpingHand	HelpingHandAchievement	i18next:achievements.helping_hand_title	i18next:achievements.helping_hand_desc	10	gold	100	True	game	game
homeTurf	HomeTurfAchievement	Home Turf	You've won 5 games as Player One. Enjoy a free Premium Battle Map on us!	5	newRandomCosmetics	multiple	False	game	game
theArtOfWarAchievement	TheArtOfWarAchievement	i18next:achievements.art_of_war_title	i18next:achievements.art_of_war_desc	50	gold	100	True	game	game
collectorSupreme	CollectorSupremeAchievement	i18next:achievements.collector_supreme_title	i18next:achievements.collector_supreme_desc	1	neutralEpicCard, neutralRareCard	1, 1	True	collection	inventory
earthSister	SisterAchievement	i18next:achievements.earth_sister_title	i18next:achievements.earth_sister_desc	1	cards	multiple	True	collection	inventory
firstCosmeticChestAchievement	FirstCosmeticChestAchievement	i18next:achievements.key_mythron_title	i18next:achievements.key_mythron_desc	1	bronzeCrateKey	1	True	cosmetic_chest	inventory
lightningSister	SisterAchievement	i18next:achievements.storm_sister_title	i18next:achievements.storm_sister_desc	1	cards	multiple	True	collection	inventory
sandSister	SisterAchievement	i18next:achievements.sand_sister_title	i18next:achievements.sand_sister_desc	1	cards	multiple	True	collection	inventory
shadowSister	SisterAchievement	i18next:achievements.shadow_sister_title	i18next:achievements.shadow_sister_desc	1	cards	multiple	True	collection	inventory
sunSister	SisterAchievement	i18next:achievements.sun_sister_title	i18next:achievements.sun_sister_desc	1	cards	multiple	True	collection	inventory
swornSister	SisterAchievement	i18next:achievements.sworn_sister_title	i18next:achievements.sworn_sister_desc	1	cards	multiple	True	collection	inventory
windSister	SisterAchievement	i18next:achievements.wind_sister_title	i18next:achievements.wind_sister_desc	1	cards	multiple	True	collection	inventory
bnPromoAchievement	BNPromoAchievement	BANDAI NAMCO PARTNERSHIP EVENT	Here's a FREE GIFT CRATE to celebrate our new partnership!	1	giftChests	multiple	True	login	login
christmasLoginAchievement	ChristmasLoginAchievement	HAPPY WINTER HOLIDAYS	ALL THE SNOWCHASERS HAVE GONE OUT TO PLAY, SO TAKE THESE GIFTS TO CELEBRATE THIS SPECIAL DAY	1	giftChests	multiple	True	login	login
coreshatterLoginAchievement	CoreshatterLoginAchievement	Trials of Mythron Expansion Launch	Enjoy 3 Trials of Mythron Spirit Orbs to kickstart your collection!	1	giftChests	multiple	True	login	login
earlyFeb2018LoginAchievement	EarlyFeb2018LoginAchievement	i18next:achievements.early_feb_2018_login_achievement_title	i18next:achievements.early_feb_2018_login_achievement_desc	1	giftChests	multiple	True	login	login
fathersDayLoginAchievement	FathersDayLoginAchievement	HAPPY FATHER'S DAY	HERE'S 3 SHIM'ZAR ORBS TO CELEBRATE	1	giftChests	multiple	True	login	login
fourthOfJulyLoginAchievement	FourthOfJulyLoginAchievement	4TH OF JULY CELEBRATION	HERE'S 3 ANCIENT ORBS TO CELEBRATE	1	giftChests	multiple	True	login	login
Frostfire2017BonusLoginAchievement	Frostfire2017BonusLoginAchievement	It's the most festive time of the season!	Here's 2 special Frostfire Loot Crates full of festive goodies.	1	giftChests	multiple	True	login	login
frostfire2017LoginAchievement	Frostfire2017LoginAchievement	Frostfire Festival Has Arrived!	Here's a special Frostfire Loot Crate full of festive goodies.	1	giftChests	multiple	True	login	login
halloweenLoginAchievement	HalloweenLoginAchievement	HAPPY HALLOWEEN	HERE'S 3 MYTHRON TREATS TO CELEBRATE	1	giftChests	multiple	True	login	login
