class_name	file_name	parent_class	type	has_target	has_source	key_methods	triggers_events	description
Action	action.coffee	SDKObject	Action	Yes	Yes	_modifyForExecution, _execute, setSource, setTarget, getSource, getTarget	Tracks triggered/activated/deactivated modifiers	Base class for all game actions with source/target tracking
AttackAction	attackAction.coffee	DamageAction	AttackAction	Yes	Yes	getDamageAmount, setDamageAmount, _execute, getIsStrikebackAllowed	DieAction (on target death)	Attack action using source ATK as damage, increments attacks made
DamageAction	damageAction.coffee	Action	DamageAction	Yes	Yes	_execute, getTotalDamageAmount, setDamageAmount, changeDamageBy	DieAction (on target HP <= 0)	Applies damage to target, tracks damage modifiers and multipliers
HealAction	healAction.coffee	Action	HealAction	Yes	No	_execute, getTotalHealAmount, setHealAmount	None	Heals target unit, respects max HP limits
DieAction	dieAction.coffee	RemoveAction	DieAction	Yes	Yes	(inherits from RemoveAction)	RemoveAction	Unit death action, removes entity from board
MoveAction	moveAction.coffee	Action	MoveAction	Yes (same as source)	Yes	_execute, getPath	None	Moves entity along path to target position
PlayCardAction	playCardAction.coffee	ApplyCardToBoardAction	PlayCardAction	Yes	No	(inherits parent methods)	Full play card flow with followups	Plays card to board with full effects
TeleportAction	teleportAction.coffee	Action	TeleportAction	Yes	Yes	_execute, getIsValidTeleport	None	Instantly moves unit to target position without path
ApplyModifierAction	applyModifierAction.coffee	Action	ApplyModifierAction	Yes	No	_execute, getModifier, setModifierContextObject	Modifier application	Applies a modifier to a target card
RemoveModifierAction	removeModifierAction.coffee	Action	RemoveModifierAction	Yes	No	_execute, getModifier, setModifier	Modifier removal	Removes a modifier from target card
KillAction	killAction.coffee	Action	KillAction	Yes	Yes	_execute	DieAction	Immediately kills target unit
RemoveAction	removeAction.coffee	Action	RemoveAction	Yes	No	_execute	None	Removes card from board at target position
FightAction	fightAction.coffee	Action	FightAction	Yes	Yes	_execute	Two DamageAsAttackAction	Both source and target damage each other
DrawCardAction	drawCardAction.coffee	PutCardInHandAction	DrawCardAction	No	No	_execute, getIsDrawFromEmptyDeck	HurtingDamageAction (if deck empty), PutCardInHandAction	Draws card from deck to hand, hurting damage if empty
EndTurnAction	endTurnAction.coffee	Action	EndTurnAction	No	No	_execute	Game session turn end	Ends current player's turn
StartTurnAction	startTurnAction.coffee	Action	StartTurnAction	No	No	_execute	Game session turn start	Starts current player's turn
ApplyCardToBoardAction	applyCardToBoardAction.coffee	Action	ApplyCardToBoardAction	Yes	No	_execute, getCard, setCard	None	Abstract action to apply card to board
