namespace	key	value_en	has_params
achievements	bronze_starter_bundle_title	Bronze Division Starter Bundle	false
achievements	bronze_starter_bundle_desc	3 Neutral Legendaries for your Collection	false
achievements	gold_starter_bundle_title	Gold Division Starter Bundle	false
achievements	gold_starter_bundle_desc	3 Faction Legendaries for your Collection	false
achievements	namaste_title	Namaste	false
achievements	namaste_desc	An exclusive Snowchaser EMOTE for purchasing from THE ARMORY!	false
achievements	silver_starter_bundle_title	Silver Division Starter Bundle	false
achievements	silver_starter_bundle_desc	3 Neutral Epics for your Collection	false
achievements	welcome_to_crafting_title	Welcome to the Craft	false
achievements	welcome_to_crafting_desc	Bonus Spirit for disenchanting your first card! You can craft a Rare card for 100 Spirit.	false
achievements	bloodborn_title	Bloodbound	false
achievements	bloodborn_desc	You've unlocked all the Basic cards for one Faction! Enjoy this one-time bonus Spirit Orb!	false
achievements	world_explorer_title	World Explorer	false
achievements	world_explorer_desc	Congratulations on playing 1 game with each Faction! Enjoy this hard-to-get LEGENDARY rarity Faction card to bolster your Collection!	false
achievements	best_of_friends_title	Best of Friends	false
achievements	best_of_friends_desc	DUELYST is more fun with friends!	false
achievements	entering_gauntlet_title	Entering The Gauntlet	false
achievements	entering_gauntlet_desc	Congratulations on your first 20 ranked games! You've received a special free invitation to enter The Gauntlet!	false
achievements	helping_hand_title	Helping Hand	false
achievements	helping_hand_desc	Congratulations on your first 10 games! A special gift just for you!	false
achievements	art_of_war_title	The Art of War	false
achievements	art_of_war_desc	Congratulations on your first 50 games! A humble gift on your path to greatness!	false
achievements	collector_supreme_title	Collector Supreme	false
achievements	collector_supreme_desc	Congratulations on collecting all Core set Common cards! A RARE and an EPIC card to help you collect the rest!	false
achievements	earth_sister_title	Earth Sister	false
achievements	earth_sister_desc	By earning 3 copies of six Magmar Rare Cards, you've unlocked the Earth Sister!	false
achievements	key_mythron_title	Key to Mythron	false
achievements	key_mythron_desc	You've received your first Mystery Crate full of cosmetics! Here's a free key to open it!	false
achievements	storm_sister_title	Storm Sister	false
achievements	storm_sister_desc	By earning 3 copies of six Songhai Rare Cards, you've unlocked the Storm Sister!	false
achievements	sand_sister_title	Sand Sister	false
