class_name	file_name	parent_class	type	is_keyword	is_watch	applied_name	applied_description	attribute_buffs	stack_type	triggers	effects
Modifier	modifier.coffee	SDKObject	Modifier	FALSE	FALSE	undefined	undefined			onValidateAction, onBeforeAction, onAfterAction, onEndTurn, onStartTurn, onActivated, onDeactivated, onApplyToCard, onRemoveFromCard	stat_modify, action_modify, grant_modifier
ModifierATKThresholdDie	modifierATKThresholdDie.coffee	Modifier	ModifierATKThresholdDie	FALSE	FALSE	Modifier ATK Threshold Die	When this unit's attack is greater than %X it dies				
ModifierAbsorbDamage	modifierAbsorbDamage.coffee	Modifier	ModifierAbsorbDamage	FALSE	FALSE	modifiers.absorb_damage_name	modifiers.absorb_damage_def			onStartTurn	action_modify
ModifierAbsorbDamageGolems	modifierAbsorbDamageGolems.coffee	Modifier	ModifierAbsorbDamageGolems	FALSE	FALSE	modifiers.absorb_damage_golems_name	modifiers.absorb_damage_golems_def				action_modify
ModifierAirdrop	modifierAirdrop.coffee	Modifier	ModifierAirdrop	TRUE	FALSE	modifiers.airdrop_name			maxStacks=1		
ModifierAlwaysBackstabbed	modifierAlwaysBackstabbed.coffee	Modifier	ModifierAlwaysBackstabbed	FALSE	FALSE						action_modify
ModifierAlwaysInfiltrated	modifierAlwaysInfiltrated.coffee	Modifier	ModifierAlwaysInfiltrated	FALSE	FALSE						
ModifierAntiMagicField	modifierAntiMagicField.coffee	Modifier	ModifierAntiMagicField	TRUE	FALSE	modifiers.antimagic_field_name			maxStacks=1	onValidateAction	action_modify
ModifierAnyDrawCardWatch	modifierAnyDrawCardWatch.coffee	Modifier	ModifierAnyDrawCardWatch	FALSE	TRUE	AnyDrawCardWatch	Whenever any player draws a card ...			onDrawCardWatch	draw
ModifierAnyDrawCardWatchBuffSelf	modifierAnyDrawCardWatchBuffSelf.coffee	ModifierAnyDrawCardWatch	ModifierAnyDrawCardWatchBuffSelf	FALSE	TRUE	modifiers.any_draw_card_watch_buff_self_name	modifiers.any_draw_card_watch_buff_self_def			onDrawCardWatch	stat_modify, grant_modifier
ModifierAnyMinionHealWatch	modifierAnyMinionHealWatch.coffee	Modifier	ModifierAnyMinionHealWatch	FALSE	TRUE	Any minion HealWatch				onHealWatch	
ModifierAnySummonWatch	modifierAnySummonWatch.coffee	Modifier	ModifierAnySummonWatch	FALSE	TRUE	Any Summon Watch	Any Summon Watch			onSummonWatch	
ModifierAnySummonWatchFromActionBar	modifierAnySummonWatchFromActionBar.coffee	Modifier	ModifierAnySummonWatchFromActionBar	FALSE	TRUE	Any Summon Watch From Action Bar	Any Summon Watch From Action Bar			onSummonWatch	
ModifierAnySummonWatchFromActionBarApplyModifiersToSelf	modifierAnySummonWatchFromActionBarApplyModifiersToSelf.coffee	ModifierAnySummonWatchFromActionBar	ModifierAnySummonWatchFromActionBarApplyModifiersToSelf	FALSE	TRUE		modifiers.any_summon_watch_from_action_bar_apply_modifiers_def			onSummonWatch	grant_modifier
ModifierAnySummonWatchGainGeneralKeywords	modifierAnySummonWatchGainGeneralKeywords.coffee	ModifierAnySummonWatch	ModifierAnySummonWatchGainGeneralKeywords	FALSE	TRUE					onSummonWatch	
ModifierApplyMinionToBoardWatch	modifierApplyMinionToBoardWatch.coffee	Modifier	ModifierApplyMinionToBoardWatch	FALSE	FALSE	Any ApplyToBoard Watch	Any ApplyToBoard Watch				
ModifierApplyMinionToBoardWatchApplyModifiersToTarget	modifierApplyMinionToBoardWatchApplyModifiersToTarget.coffee	ModifierApplyMinionToBoardWatch	ModifierApplyMinionToBoardWatchApplyModifiersToTarget	FALSE	FALSE	modifiers.apply_minion_to_board_watch_apply_modifiers_to_target_name	modifiers.apply_minion_to_board_watch_apply_modifiers_to_target_def				grant_modifier
ModifierAttackEqualsHealth	modifierAttackEqualsHealth.coffee	Modifier	ModifierAttackEqualsHealth	FALSE	FALSE				maxStacks=1		stat_modify
ModifierAttacksDamageAllEnemyMinions	modifierAttacksDamageAllEnemyMinions.coffee	Modifier	ModifierAttacksDamageAllEnemyMinions	FALSE	FALSE	Attacks Damage All Enemy Minions	Attacks damage all enemy minions		maxStacks=1	onBeforeAction	
ModifierAttacksDealNoDamage	modifierAttacksDealNoDamage.coffee	Modifier	ModifierAttacksDealNoDamage	FALSE	FALSE	modifiers.attacks_deal_no_damage_name	modifiers.attack_equals_health_def		maxStacks=1		action_modify
