property	default_value	type	source_file
deck	null	Deck	app/sdk/player.coffee:25
hasResigned	false	boolean	app/sdk/player.coffee:26
hasStartingHand	false	boolean	app/sdk/player.coffee:27
isCurrentPlayer	false	boolean	app/sdk/player.coffee:28
isRanked	false	boolean	app/sdk/player.coffee:29
rank	null	number	app/sdk/player.coffee:30
isWinner	false	boolean	app/sdk/player.coffee:31
lastMaximumMana	null	number	app/sdk/player.coffee:32
lastActionTakenAt	null	number	app/sdk/player.coffee:33
lastRemainingMana	null	number	app/sdk/player.coffee:34
maximumMana	null	number	app/sdk/player.coffee:35
playerId	null	string	app/sdk/player.coffee:36
remainingMana	null	number	app/sdk/player.coffee:37
signatureCardIndices	null	array	app/sdk/player.coffee:38
signatureCardActive	false	boolean	app/sdk/player.coffee:39
startingMana	null	number	app/sdk/player.coffee:40
totalDamageDealt	0	number	app/sdk/player.coffee:41
totalDamageDealtToGeneral	0	number	app/sdk/player.coffee:42
totalMinionsKilled	0	number	app/sdk/player.coffee:43
totalSpellsCast	0	number	app/sdk/player.coffee:44
totalSpellsPlayedFromHand	0	number	app/sdk/player.coffee:45
totalMinionsPlayedFromHand	0	number	app/sdk/player.coffee:46
totalMinionsSpawned	0	number	app/sdk/player.coffee:47
username	null	string	app/sdk/player.coffee:48
eventReceivingCardsOnBoard	[]	array	app/sdk/player.coffee:78
actionStateRecord	null	ActionStateRecord	app/sdk/player.coffee:79
cachedEventReceivingCards	null	array	app/sdk/player.coffee:80
cachedReferenceSignatureCard	null	Card	app/sdk/player.coffee:81
