class	property	serialized_name	direction	file
gameSession	battleMapTemplate	new	deserialize	gameSession.coffee
gameSession	board	new	deserialize	gameSession.coffee
gameSession	cards	Cards	getter	gameSession.coffee
gameSession	gameId	GameId	getter	gameSession.coffee
gameSession	gameSetupData	GameSetupData	getter	gameSession.coffee
gameSession	_private	Validators	getter	gameSession.coffee
gameSession	isMyTurn	IsMyFollowupActive	getter	gameSession.coffee
gameSession	status	Status	getter	gameSession.coffee
gameSession	gameType	GameType	getter	gameSession.coffee
gameSession	gameFormat	GameFormat	getter	gameSession.coffee
gameSession	aiDifficulty	AiDifficulty	getter	gameSession.coffee
gameSession	players	Players	getter	gameSession.coffee
gameSession	getUserId	MyPlayerId	getter	gameSession.coffee
gameSession	getPlayerById	MyPlayer	getter	gameSession.coffee
gameSession	aiPlayerId	AiPlayerId	getter	gameSession.coffee
gameSession	getOpponentPlayerOfPlayerId	OpponentPlayer	getter	gameSession.coffee
gameSession	getCurrentPlayer	CurrentPlayerId	getter	gameSession.coffee
gameSession	getNonCurrentPlayer	NonCurrentPlayerId	getter	gameSession.coffee
gameSession	getPlayer1	Player1Id	getter	gameSession.coffee
gameSession	getPlayer2	Player2Id	getter	gameSession.coffee
gameSession	getGeneralForPlayerId	GeneralForPlayer1	getter	gameSession.coffee
gameSession	getWinner	WinnerId	getter	gameSession.coffee
gameSession	getLoser	LoserId	getter	gameSession.coffee
gameSession	turns	Turns	getter	gameSession.coffee
gameSession	currentTurn	CurrentTurn	getter	gameSession.coffee
gameTurn	playerId	PlayerId	getter	gameTurn.coffee
gameTurn	steps	Steps	getter	gameTurn.coffee
gameTurn	ended	Ended	getter	gameTurn.coffee
step	playerId	PlayerId	getter	step.coffee
step	index	Index	getter	step.coffee
step	parentStepIndex	ParentStepIndex	getter	step.coffee
step	childStepIndex	ChildStepIndex	getter	step.coffee
step	action	Action	getter	step.coffee
step	_private	IncludedRandomness	getter	step.coffee
step	transmitted	Transmitted	getter	step.coffee
action	type	Type	getter	actions/action.coffee
action	ownerId	OwnerId	getter	actions/action.coffee
action	getGameSession	Owner	getter	actions/action.coffee
action	index	Index	getter	actions/action.coffee
action	manaCost	ManaCost	getter	actions/action.coffee
action	_private	IsValid	getter	actions/action.coffee
action	isDepthFirst	IsDepthFirst	getter	actions/action.coffee
action	isAutomatic	IsAutomatic	getter	actions/action.coffee
action	parentActionIndex	IsImplicit	getter	actions/action.coffee
action	fxResource	FXResource	getter	actions/action.coffee
action	subActionsOrderedByEventType	SubActionsOrderedByEventType	getter	actions/action.coffee
action	resolveParentActionIndex	ResolveParentActionIndex	getter	actions/action.coffee
action	resolveSubActionIndices	ResolveSubActionsIndices	getter	actions/action.coffee
action	triggeringModifierIndex	TriggeringModifierIndex	getter	actions/action.coffee
action	getTriggeringModifierIndex	CreatedByTriggeringModifier	getter	actions/action.coffee
action	_getModifierIndices	TriggeredModifierIndices	getter	actions/action.coffee
