id	name	cost	faction_id	rarity_id	spell_class	spell_filter_type	can_target_general	damage_amount	heal_amount	radius	target_modifiers	fx_resource	sprite_resource	sound_resource	description
Cards.Spell.TrinityOath	cards.faction_1_spell_trinity_oath_name	4	Factions.Faction1	Rarity.Epic	SpellHealYourGeneral	SpellFilterType.AllyIndirect	true		3	CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.LastingJudgement	idle:RSX.iconTrinityOathIdle.name|active:RSX.iconTrinityOathActive.name	apply:RSX.sfx_spell_forcebarrier.audio	cards.faction_1_spell_trinity_oath_desc
Cards.Spell.DrainingWave	cards.faction_1_spell_draining_wave_name	1	Factions.Faction1	Rarity.Common	SpellDamageMinionAndGeneral			4				FX.Cards.Spell.DrainingWave	idle:RSX.iconDrainingWaveIdle.name|active:RSX.iconDrainingWaveActive.name	apply:RSX.sfx_neutral_alcuinloremaster_attack_impact.audio	cards.faction_1_spell_draining_wave_desc
Cards.Spell.PrismBarrier	cards.faction_1_spell_prism_barrier_name	2	Factions.Faction1	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.AurynNexus	idle:RSX.iconPrismBarrierIdle.name|active:RSX.iconPrismBarrierActive.name	apply:RSX.sfx_spell_forcebarrier.audio	cards.faction_1_spell_prism_barrier_desc
Cards.Spell.TempestBBS	cards.faction_1_spell_tempest_name	2	Factions.Faction1	Rarity.Fixed	SpellDamage	SpellFilterType.NeutralIndirect	true	2		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Tempest	idle:RSX.iconBBSTempestIdle.name|active:RSX.iconBBSTempestActive.name	apply:RSX.sfx_spell_heavenstrike.audio	cards.faction_1_spell_tempest_description
Cards.Spell.Bloodstab	cards.faction_2_spell_ethereal_blades_name	2	Factions.Faction2	Rarity.Common	SpellApplyModifiersToUnitAndGeneral	SpellFilterType.AllyDirect						FX.Cards.Spell.EtherealBlades	idle:RSX.iconEtherealBladesIdle.name|active:RSX.iconEtherealBladesActive.name	apply:RSX.sfx_spell_twinstrike.audio	cards.faction_2_spell_ethereal_blades_desc
Cards.Spell.CobraStrike	cards.faction_2_spell_cobra_strike_name	4	Factions.Faction2	Rarity.Epic	SpellDamageUnitAndGeneral	SpellFilterType.EnemyDirect		3				FX.Cards.Spell.CobraStrike	idle:RSX.iconCobraStrikeIdle.name|active:RSX.iconCobraStrikeActive.name	apply:RSX.sfx_spell_twinstrike.audio	cards.faction_2_spell_cobra_strike_desc
Cards.Spell.Backstabbery	cards.faction_2_spell_obscuring_blow_name	1	Factions.Faction2	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyDirect	true					FX.Cards.Spell.ObscuringBlow	idle:RSX.iconObscuringBlowIdle.name|active:RSX.iconObscuringBlowActive.name	apply:RSX.sfx_neutral_khymera_death.audio	cards.faction_2_spell_obscuring_blow_desc
Cards.Spell.PhoenixFireBBS	cards.faction_2_spell_phoenix_fire_name	2	Factions.Faction2	Rarity.Fixed	SpellDamage	SpellFilterType.NeutralDirect	true	3				FX.Cards.Spell.PhoenixFire	idle:RSX.iconBBSPhoenixFireIdle.name|active:RSX.iconBBSPhoenixFireActive.name	apply:RSX.sfx_spell_phoenixfire.audio	cards.faction_2_spell_phoenix_fire_description
Cards.Spell.DivineSpark	cards.faction_3_spell_divine_spark_name	3	Factions.Faction3	Rarity.Common		SpellFilterType.None						FX.Cards.Spell.DivineSpark	idle:RSX.iconDivineSparkIdle.name|active:RSX.iconDivineSparkActive.name	apply:RSX.sfx_spell_scionsfirstwish.audio	cards.faction_3_spell_divine_spark_desc
Cards.Spell.EquipVetArtifacts	cards.faction_3_spell_autarchs_gifts_name	6	Factions.Faction3	Rarity.Epic	SpellEquipVetArtifacts							FX.Cards.Spell.AutarchsGifts	idle:RSX.iconAutarchsGiftIdle.name|active:RSX.iconAutarchsGiftActive.name	apply:RSX.sfx_spell_entropicdecay.audio	cards.faction_3_spell_autarchs_gifts_desc
Cards.Spell.StoneToSpears	cards.faction_3_spell_stone_to_spears_name	1	Factions.Faction3	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.StoneToSpears	idle:RSX.iconStonesToSpearsIdle.name|active:RSX.iconStonesToSpearsActive.name	apply:RSX.sfx_spell_starsfury.audio	cards.faction_3_spell_stone_to_spears_desc
Cards.Spell.SummonFiends	cards.faction_4_spell_abyssal_scar_name	3	Factions.Faction4	Rarity.Legendary	SpellSpawnEntityOnShadowCreep	SpellFilterType.NeutralIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.AbyssalScar	idle:RSX.iconSuperTaintIdle.name|active:RSX.iconSuperTaintActive.name	apply:RSX.sfx_spell_shadowreflection.audio	cards.faction_4_spell_abyssal_scar_modified_description
Cards.Spell.FuriousLings	cards.faction_4_spell_shadowspawn_name	3	Factions.Faction4	Rarity.Legendary	SpellFuriousLings							FX.Cards.Spell.Shadowspawn	idle:RSX.iconSuperShadowspawnIdle.name|active:RSX.iconSuperShadowspawnActive.name	apply:RSX.sfx_neutral_makantorwarbeast_attack_impact.audio	cards.faction_4_spell_shadowspawn_modified_description
Cards.Spell.SummonHusks	Malice	3	Factions.Faction4	Rarity.Legendary	SpellSummonHusks	SpellFilterType.AllyDirect						FX.Cards.Spell.Malice	idle:RSX.iconSuperMaliceIdle.name|active:RSX.iconSuperMaliceActive.name	apply:RSX.sfx_neutral_makantorwarbeast_attack_impact.audio	Destroy a friendly minion to summon 4/4 Husks equal to its Attack nearby.
Cards.Spell.DarkSacrifice	cards.faction_4_spell_aphotic_drain_name	1	Factions.Faction4	Rarity.Common	SpellLifeDrain	SpellFilterType.AllyDirect			5			FX.Cards.Spell.CurseOfAgony	idle:RSX.iconAphoticDrainIdle.name|active:RSX.iconAphoticDrainActive.name	apply:RSX.sfx_spell_darkfiresacrifice.audio	cards.faction_4_spell_aphotic_drain_desc
Cards.Spell.NecroticSphere	cards.faction_4_spell_necrotic_sphere_name	6	Factions.Faction4	Rarity.Epic	SpellWraithstorm	SpellFilterType.NeutralIndirect						FX.Cards.Spell.NecroticSphere	idle:RSX.iconNecroticSphereIdle.name|active:RSX.iconNecroticSphereActive.name	apply:RSX.sfx_spell_darktransformation.audio	cards.faction_4_spell_necrotic_sphere_desc
Cards.Spell.Punish	cards.faction_4_spell_punish_name	2	Factions.Faction4	Rarity.Rare	SpellKillDamagedMinion	SpellFilterType.NeutralDirect						FX.Cards.Spell.Punish	idle:RSX.iconPunishIdle.name|active:RSX.iconPunishActive.name	apply:RSX.sfx_spell_darkfiresacrifice.audio	cards.faction_4_spell_punish_desc
Cards.Spell.TectonicSpikes	cards.faction_5_spell_tectonic_spikes_name	3	Factions.Faction5	Rarity.Rare	SpellTectonicSpikes			3				FX.Cards.Spell.TectonicSpikes	idle:RSX.iconTectonicSpikesIdle.name|active:RSX.iconTectonicSpikesActive.name	apply:RSX.sfx_spell_flashreincarnation.audio	cards.faction_5_spell_tectonic_spikes_desc
Cards.Spell.EntropicGaze	cards.faction_5_spell_entropic_gaze_name	2	Factions.Faction5	Rarity.Common	SpellDamageEnemyGeneralBothDrawCard	SpellFilterType.NeutralIndirect	true	2		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.EntropicGaze	idle:RSX.iconEntropicGazeIdle.name|active:RSX.iconEntropicGazeActive.name	apply:RSX.sfx_neutral_spelljammer_attack_swing.audio	cards.faction_5_spell_entropic_gaze_desc
Cards.Spell.ValknusSeal	cards.faction_5_spell_valknus_seal_name	4	Factions.Faction5	Rarity.Epic	SpellSpawnEntity	SpellFilterType.SpawnSource						FX.Cards.Spell.MindSteal	idle:RSX.iconValknuSealIdle.name|active:RSX.iconValknuSealActive.name	apply:RSX.sfx_neutral_crossbones_death.audio	cards.faction_5_spell_valknus_seal_desc
Cards.Spell.ConcealingShroud	cards.faction_6_spell_concealing_shroud_name	2	Factions.Faction6	Rarity.Rare	SpellApplyModifiersToGeneral	SpellFilterType.None						FX.Cards.Spell.ElementalFury	idle:RSX.iconConceilingShroudIdle.name|active:RSX.iconConceilingShroudActive.name	apply:RSX.sfx_neutral_dancingblades_death.audio	cards.faction_6_spell_concealing_shroud_desc
Cards.Spell.Enfeeble	cards.faction_6_spell_enfeeble_name	5	Factions.Faction6	Rarity.Epic	SpellApplyModifiers	SpellFilterType.NeutralIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Enfeeble	idle:RSX.iconEnfeebleIdle.name|active:RSX.iconEnfeebleActive.name	apply:RSX.sfx_f6_voiceofthewind_attack_impact.audio	cards.faction_6_spell_enfeeble_desc
Cards.Spell.FrigidCorona	cards.faction_6_spell_frigid_corona_name	2	Factions.Faction6	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyDirect	false					FX.Cards.Spell.FrigidCorona	idle:RSX.iconFrigidCoronaIdle.name|active:RSX.iconFrigidCoronaActive.name	apply:RSX.sfx_f6_icebeetle_death.audio	cards.faction_6_spell_frigid_corona_desc
Cards.Spell.Roar	cards.faction_1_spell_roar_name	1	Factions.Faction1		SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.Roar	idle:RSX.iconRoarIdle.name|active:RSX.iconRoarActive.name	apply:RSX.sfx_neutral_arakiheadhunter_attack_swing.audio	cards.faction_1_spell_roar_description
Cards.Spell.Afterglow	cards.faction_1_spell_afterglow_name	1	Factions.Faction1		SpellHeal	SpellFilterType.NeutralDirect			3			FX.Cards.Spell.Afterglow	idle:RSX.iconAfterglowIdle.name|active:RSX.iconAfterglowActive.name	apply:RSX.sfx_loot_crate_reveal.audio	cards.faction_1_spell_afterglow_description
