id	name	attack	hp	cost	faction_id	rarity_id	race_id	is_general	abilities	sprite_resource	sound_resource	fx_resource
Cards.Faction1.Sunbreaker	cards.faction_1_unit_sunbreaker_name	2	4	4	Factions.Faction1	Rarity.Rare	null	false	ModifierForcefield|ModifierCardControlledPlayerModifiers	f1SunBreakerBreathing|f1SunBreakerIdle|f1SunBreakerRun|f1SunBreakerAttack|f1SunBreakerHit|f1SunBreakerDeath	RSX.sfx_ui_booster_packexplode|RSX.sfx_singe2|RSX.sfx_f1_sunriser_attack_swing|RSX.sfx_f1_sunriser_hit_noimpact|RSX.sfx_f1_sunriser_attack_impact|RSX.sfx_f1_sunriser_death_alt	FX.Cards.Faction1.Sunriser
Cards.Faction1.Scintilla	cards.faction_1_unit_scintilla_name	3	4	3	Factions.Faction1	Rarity.Common	null	false	ModifierSynergizeHealMyGeneral	f1ScintillaBreathing|f1ScintillaIdle|f1ScintillaRun|f1ScintillaAttack|f1ScintillaHit|f1ScintillaDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_neutral_redsynja_attack_swing|RSX.sfx_f2melee_hit|RSX.sfx_f2melee_attack_impact|RSX.sfx_f2melee_death	FX.Cards.Faction1.Scintilla
Cards.Faction1.Excelsious	cards.faction_1_unit_excelsious_name	6	6	8	Factions.Faction1	Rarity.Legendary	null	false	ModifierMyHealWatchAnywhereBuffSelf|ModifierProvoke|ModifierTranscendance	f1ExcelsiousBreathing|f1ExcelsiousIdle|f1ExcelsiousRun|f1ExcelsiousAttack|f1ExcelsiousHit|f1ExcelsiousDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_charge_4|RSX.sfx_f1ironcliffeguardian_attack_swing|RSX.sfx_f1ironcliffeguardian_hit|RSX.sfx_f1ironcliffeguardian_attack_impact|RSX.sfx_f1ironcliffeguardian_death	FX.Cards.Faction1.IroncliffeGuardian
Cards.Faction2.TwilightFox	cards.faction_2_unit_twilight_fox_name	3	4	3	Factions.Faction2	Rarity.Legendary	null	false	ModifierSynergizeTeleportRandomEnemy	f2TwilightFoxBreathing|f2TwilightFoxIdle|f2TwilightFoxRun|f2TwilightFoxAttack|f2TwilightFoxHit|f2TwilightFoxDeath	RSX.sfx_ui_booster_packexplode|RSX.sfx_singe2|RSX.sfx_f2lanternfox_attack_swing|RSX.sfx_f2lanternfox_hit|RSX.sfx_f2lanternfox_attack_impact|RSX.sfx_f2lanternfox_death	FX.Cards.Faction2.LanternFox
Cards.Faction2.Geomancer	cards.faction_2_unit_geomancer_name	5	4	5	Factions.Faction2	Rarity.Rare	null	false	ModifierOpeningGambitChangeSignatureCard	f2GeomancerBreathing|f2GeomancerIdle|f2GeomancerRun|f2GeomancerAttack|f2GeomancerHit|f2GeomancerDeath	RSX.sfx_spell_deathstrikeseal|RSX.sfx_singe2|RSX.sfx_f2mage4winds_attack_swing|RSX.sfx_f2mage4winds_hit|RSX.sfx_f2mage4winds_attack_impact|RSX.sfx_f2mage4winds_death	FX.Cards.Faction2.MageOfFourWinds
Cards.Faction2.Whiplash	cards.faction_2_unit_whiplash_name	4	3	3	Factions.Faction2	Rarity.Common	null	false	ModifierSynergizeDamageEnemyGeneral	f2WhiplashBreathing|f2WhiplashIdle|f2WhiplashRun|f2WhiplashAttack|f2WhiplashHit|f2WhiplashDeath	RSX.sfx_spell_deathstrikeseal|RSX.sfx_unit_run_magical_3|RSX.sfx_f2_kaidoassassin_attack_swing|RSX.sfx_f2_kaidoassassin_hit|RSX.sfx_f2_kaidoassassin_attack_impact|RSX.sfx_f2_kaidoassassin_death	FX.Cards.Faction2.KaidoAssassin
Cards.Faction3.Zephyr	cards.faction_3_unit_zephyr_name	3	3	3	Factions.Faction3	Rarity.Common	null	false	ModifierSynergizeApplyModifiersToGeneral	f3BBZephyrBreathing|f3BBZephyrIdle|f3BBZephyrRun|f3BBZephyrAttack|f3BBZephyrHit|f3BBZephyrDeath	RSX.sfx_spell_ghostlightning|RSX.sfx_unit_run_magical_4|RSX.sfx_f3_orbweaver_attack_swing|RSX.sfx_f3_orbweaver_hit|RSX.sfx_f3_orbweaver_impact|RSX.sfx_f3_orbweaver_death	FX.Cards.Faction3.OrbWeaver
Cards.Faction3.Incinera	cards.faction_3_unit_incinera_name	5	6	5	Factions.Faction3	Rarity.Rare	null	false	ModifierCardControlledPlayerModifiers	f3IncineraBreathing|f3IncineraIdle|f3IncineraRun|f3IncineraAttack|f3IncineraHit|f3IncineraDeath	RSX.sfx_spell_blindscorch|RSX.sfx_neutral_sai_attack_impact|RSX.sfx_spell_blaststarfire|RSX.sfx_f4_engulfingshadow_attack_impact|RSX.sfx_spell_immolation_a|RSX.sfx_f1elyxstormblade_death	FX.Cards.Faction3.StarfireScarab
Cards.Faction3.GrandmasterNoshRak	cards.faction_3_unit_grandmaster_noshrak_name	4	8	8	Factions.Faction3	Rarity.Legendary	null	false	ModifierFlying|ModifierBlastAttack|ModifierCardControlledPlayerModifiers	f3NoshRakBreathing|f3NoshRakIdle|f3NoshRakRun|f3NoshRakAttack|f3NoshRakHit|f3NoshRakDeath	RSX.sfx_spell_ghostlightning|RSX.sfx_neutral_silitharveteran_death|RSX.sfx_neutral_makantorwarbeast_attack_swing|RSX.sfx_f6_boreanbear_hit|RSX.sfx_f6_boreanbear_attack_impact|RSX.sfx_f6_boreanbear_death	FX.Cards.Faction3.GrandmasterNoshRak
Cards.Faction4.Furosa	cards.faction_4_unit_furosa_name	1	2	1	Factions.Faction4	Rarity.Common	null	false	ModifierSynergizeApplyModifiersToWraithlings	f4FurosaBreathing|f4FurosaIdle|f4FurosaRun|f4FurosaAttack|f4FurosaHit|f4FurosaDeath	RSX.sfx_f4_blacksolus_attack_swing|RSX.sfx_singe2|RSX.sfx_f3_aymarahealer_attack_swing|RSX.sfx_f3_aymarahealer_hit|RSX.sfx_f3_aymarahealer_impact|RSX.sfx_f3_aymarahealer_death	FX.Cards.Faction4.AbyssalCrawler
Cards.Faction4.GrandmasterVariax	cards.faction_4_unit_grandmaster_variax_name	8	8	8	Factions.Faction4	Rarity.Legendary	null	false	ModifierOpeningGambitGrandmasterVariax	f4GrandmasterVariaxBreathing|f4GrandmasterVariaxIdle|f4GrandmasterVariaxRun|f4GrandmasterVariaxAttack|f4GrandmasterVariaxHit|f4GrandmasterVariaxDeath	RSX.sfx_f4_blacksolus_attack_swing|RSX.sfx_unit_run_magical_4|RSX.sfx_f1windbladecommander_attack_swing|RSX.sfx_f1windbladecommander_hit|RSX.sfx_f1windbladecommanderattack_impact|RSX.sfx_f1elyxstormblade_death	FX.Cards.Faction4.SharianShadowdancer
Cards.Faction4.Fiend	cards.faction_4_unit_fiend_name	4	4	2	Factions.Faction4	Rarity.TokenUnit	null	false	ModifierToken	f4FiendBreathing|f4FiendIdle|f4FiendRun|f4FiendAttack|f4FiendHit|f4FiendDeath	RSX.sfx_f4_blacksolus_attack_swing|RSX.sfx_singe2|RSX.sfx_neutral_repulsionbeast_attack_swing|RSX.sfx_neutral_repulsionbeast_hit|RSX.sfx_neutral_repulsionbeast_attack_impact|RSX.sfx_neutral_repulsionbeast_death	FX.Cards.Faction4.DarkspineElemental
Cards.Faction4.HorrorBurster	cards.faction_4_unit_horror_burster_name	4	1	3	Factions.Faction4	Rarity.Rare	null	false	ModifierDyingWishTransformRandomMinion	f4HorrorBursterBreathing|f4HorrorBursterIdle|f4HorrorBursterRun|f4HorrorBursterAttack|f4HorrorBursterHit|f4HorrorBursterDeath	RSX.sfx_f4_blacksolus_attack_swing|RSX.sfx_singe2|RSX.sfx_neutral_bluetipscorpion_attack_swing|RSX.sfx_neutral_bluetipscorpion_hit|RSX.sfx_neutral_bluetipscorpion_attack_impact|RSX.sfx_neutral_bluetipscorpion_death	FX.Cards.Faction4.HorrorBurster
Cards.Faction4.Horror	cards.faction_4_unit_horror_name	6	6	6	Factions.Faction4	Rarity.TokenUnit	null	false	ModifierToken	f4HorrorBreathing|f4HorrorIdle|f4HorrorRun|f4HorrorAttack|f4HorrorHit|f4HorrorDeath	RSX.sfx_f4_blacksolus_death|RSX.sfx_neutral_arakiheadhunter_hit|RSX.sfx_f4_juggernaut_attack_swing|RSX.sfx_f4_juggernaut_hit|RSX.sfx_f4_juggernaut_attack_impact|RSX.sfx_f4_juggernaut_death	FX.Cards.Faction4.Horror
