file	references
app/application.coffee	ua-parser-js|firebase|bluebird|moment|semver|query-string|app/common/storage.js|app/common/logger.coffee|app/common/landing.js|app/common/session2.coffee|app/common/config.js|app/data/resources.js|app/data/packages|app/common/eventbus.js|app/common/event_types.js|app/sdk|app/common/analytics.coffee|app/common/analyticsUtil.coffee|app/common/utils/utils_javascript.js|app/common/utils/utils_env.js|app/common/utils/utils_pointer.js|app/audio/audio_engine.js|app/common/openUrl.js|i18next|app/ui/models/card.js|app/ui/extensions/duelyst_firebase.js|app/ui/extensions/duelyst_backbone.js|app/ui/managers/package_manager.js|app/ui/managers/profile_manager.js|app/ui/managers/game_data_manager.js|app/ui/managers/games_manager.js|app/ui/managers/crate_manager.js|app/ui/managers/notifications_manager.js|app/ui/managers/navigation_manager.js|app/ui/managers/chat_manager.js|app/ui/managers/inventory_manager.js|app/ui/managers/quests_manager.js|app/ui/managers/telemetry_manager.js|app/ui/managers/progression_manager.js|app/ui/managers/server_status_manager.js|app/ui/managers/news_manager.js|app/ui/managers/new_player_manager.js|app/ui/managers/achievements_manager.js|app/ui/managers/twitch_manager.js|app/ui/managers/shop_manager.js|app/ui/managers/stream_manager.js|app/ui/views/helpers.js|app/ui/views/item/loader.js|app/ui/views/item/utility_loading_login_menu.js|app/ui/views/item/utility_main_menu.js|app/ui/views/item/utility_matchmaking_menu.js|app/ui/views/item/utility_game_menu.js|app/ui/views/item/esc_game_menu.js|app/ui/views/item/esc_main_menu.js|app/ui/views/item/login_menu.js|app/common/discord.js|app/ui/views/item/select_username.js|app/view/Scene.js|app/view/layers/game/GameLayer.js|app/ui/views/item/main_menu.js|app/ui/views2/collection/collection.js|app/ui/views/layouts/play.js|app/view/layers/pregame/PlayLayer.js|app/ui/views2/watch/watch_layout.js|app/ui/views2/shop/shop_layout.js|app/ui/views2/codex/codex_layout.js|app/view/layers/codex/CodexLayer.js|app/ui/views2/tutorial/tutorial_lessons_layout.js|app/ui/views2/quests/quest_log_layout.js|app/ui/views/layouts/booster_pack_collection.js|app/view/layers/booster/BoosterPackOpeningLayer.js|app/view/layers/postgame/VictoryLayer.js|app/view/layers/reward/UnlockFactionLayer.js|app/view/layers/reward/ProgressionRewardLayer.js|app/view/layers/reward/CosmeticKeyRewardLayer.js|app/view/layers/postgame/LadderProgressLayer.js|app/view/layers/postgame/RiftProgressLayer.js|app/view/layers/reward/CurrencyRewardLayer.js|app/view/layers/reward/GauntletTicketRewardLayer.js|app/view/layers/reward/BoosterRewardLayer.js|app/view/layers/reward/LootCrateRewardLayer.js|app/view/layers/reward/FreeCardOfTheDayLayer.js|app/view/layers/crate/CrateOpeningLayer.js|app/view/layers/season/EndOfSeasonLayer.js|app/ui/views/item/resume_game.js|app/ui/views/item/finding_game.js|app/ui/views/item/reconnect_to_game.js|app/ui/views/layouts/game.js|app/ui/views/layouts/tutorial.js|app/ui/views/item/victory.js|app/ui/views/composite/messages.js|app/ui/views/item/confirm_dialog.js|app/ui/views/item/prompt_dialog.js|app/ui/views/item/activity_dialog.js|app/ui/views/item/error_dialog.js|app/ui/views/item/announcement_modal.js|app/ui/views2/shop/shop_special_product_available_dialog.js|app/replay/replayEngine.coffee|app/common/analyticsTracker.coffee|app/ui/extensions/handlebars_template_helpers.js
app/audio/SoundEffectSequence.js	bluebird|underscore|app/audio/audio_engine.js|app/audio/audio_object.js
app/audio/audio_engine.js	underscore|bluebird|app/common/logger.coffee|app/common/config.js|app/common/utils/utils_audio.js|app/audio/audio_object.js|app/audio/music_object.js|app/audio/sound_effect_object.js
app/audio/audio_object.js	underscore|bluebird|app/common/utils/utils_audio.js
app/audio/music_object.js	app/audio/audio_object.js
app/audio/sound_effect_object.js	app/audio/audio_object.js
app/common/actionStateRecord.coffee	app/common/config.js|app/common/logger.coffee|app/common/event_types.js|underscore
app/common/analytics.coffee	underscore|app/common/analyticsModules/loggerAnalyticsModule.coffee|app/common/analyticsModules/analyticsEventPriority.coffee|app/common/analyticsModules/analyticsEventCategory.coffee
app/common/analyticsModules/loggerAnalyticsModule.coffee	underscore|app/common/logger.coffee|app/common/analyticsModules/analyticsEventPriority.coffee
app/common/analyticsTracker.coffee	app/common/analytics.coffee|app/sdk|app/common/logger.coffee|moment|app/common/config.js
