class_name	parent_class	file	methods
ActionStateRecord		app/common/actionStateRecord.coffee	constructor;getCurrentState;getCurrentStateForEventType;getStateAtAction;getStateAtActionForEventType;_getStateIndexForEventType;_getLastActionIndexRecorded;_getLastActionIndexRecordedForEventType;_getLastActionIndexRecordedAtOrBeforeActionIndex;_getLastActionIndexRecordedAtOrBeforeActionIndexForEventType;getHasRecordedStateForActions;getIsListeningToEvents;startListeningToEvents;stopListeningToEvents;setupToRecordStateOnEvent;teardownRecordingStateOnAllEvents;recordStateEvenIfNotChanged;recordStateAtLastActionRecorded;_recordProperties;onStateRecordingActionEvent
Analytics		app/common/analytics.coffee	_getAnalyticsModules;identify;page;screen;track;trackMonetizationEvent;reset;setGroupPriority;clearGroupPriority;toggleLoggingEnabled
AnalyticsEventCategory		app/common/analyticsModules/analyticsEventCategory.coffee	
AnalyticsEventPriority		app/common/analyticsModules/analyticsEventPriority.coffee	
LoggerAnalyticsModule		app/common/analyticsModules/loggerAnalyticsModule.coffee	isActive;identify;page;screen;track;reset
AnalyticsTracker		app/common/analyticsTracker.coffee	submitGameOverAnalytics;sendAnalyticsForExplicitAction;sendAnalyticsForCompletedTurn;_sendAnalyticsForCurrentGameSession
AnalyticsUtil		app/common/analyticsUtil.coffee	convertDaysSeenOnFromArrayToObject;recordedDayIndexForRegistrationAndSeenOn;nameForSeenOnDay
Logger		app/common/logger.coffee	startRecording;recordingFilter;record;endRecording;log;debug;warn;error;group;groupEnd;module;log;debug;error;warn;group;groupEnd;time;timeEnd;yieldColor;terminalStylize
Session	EventEmitter	app/common/session2.coffee	constructor;_checkResponse;_networkError;_authFirebase;_deauthFirebase;_decodeFirebaseToken;initPremiumPurchase;login;logout;register;isUsernameAvailable;changeUsername;changePassword;changePortrait;changeBattlemap;isAuthenticated;refreshToken;getIsFirstSessionOfDay;saveToStorage;clearStorage
ReplayEngine		app/replay/replayEngine.coffee	create;getInstance;current;reset
_ReplayEngine		app/replay/replayEngine.coffee	constructor;getEventBus;watchReplay;stopCurrentReplay;isPlaying;togglePause;pause;resume;updateTimeForPlayingStep;_updateStepTimeForDeadtimeCulling;_clearTimeouts;_clearStartTimeout;_clearStepTimeout;_clearUIEventTimeout;_startReplayingSteps;_replayNextStep;_startReplayingUIEvents;_replayNextUIEvent
