class_name	field	type
ActionStateRecord	_currentState	null
ActionStateRecord	_currentStateByType	null
ActionStateRecord	_actionIndicesRecorded	null
ActionStateRecord	_actionIndicesRecordedByEventType	null
ActionStateRecord	_lastActionIndicesRecordedCache	null
ActionStateRecord	_lastActionIndicesRecordedByEventTypeCache	null
ActionStateRecord	_propertyNamesToRecordByEventType	null
ActionStateRecord	_currentPropertyNamesToRecord	null
ActionStateRecord	_recordingMethodsByEventType	null
ActionStateRecord	_currentRecordingMethods	null
ActionStateRecord	_stateByActionIndex	null
ActionStateRecord	_stateByActionIndexAndEventType	null
ActionStateRecord	_eventBus	null
ActionStateRecord	_listeningToEvents	boolean
Analytics	EventPriority	unknown
Analytics	EventCategory	unknown
Analytics	_groupPriority	null
Analytics	_defaultPriority	unknown
Analytics	_getAnalyticsModules	unknown
Analytics	identify	unknown
Analytics	page	unknown
Analytics	screen	unknown
Analytics	track	unknown
Analytics	trackMonetizationEvent	unknown
Analytics	reset	unknown
Analytics	setGroupPriority	unknown
Analytics	clearGroupPriority	unknown
Analytics	toggleLoggingEnabled	unknown
AnalyticsEventCategory	Marketing	string
AnalyticsEventCategory	FTUE	string
AnalyticsEventCategory	Game	string
AnalyticsEventCategory	Quest	string
AnalyticsEventCategory	Chat	string
AnalyticsEventCategory	Matchmaking	string
AnalyticsEventCategory	SpiritOrbs	string
AnalyticsEventCategory	Challenges	string
AnalyticsEventCategory	Shop	string
AnalyticsEventCategory	Gauntlet	string
AnalyticsEventCategory	Watch	string
AnalyticsEventCategory	Codex	string
AnalyticsEventCategory	Crate	string
AnalyticsEventCategory	Boss	string
AnalyticsEventCategory	Rift	string
AnalyticsEventCategory	Inventory	string
AnalyticsEventCategory	Debug	string
AnalyticsEventPriority	Critical	number
AnalyticsEventPriority	High	number
AnalyticsEventPriority	Medium	number
AnalyticsEventPriority	Low	number
AnalyticsEventPriority	Optional	number
LoggerAnalyticsModule	_deactivate	boolean
LoggerAnalyticsModule	isActive	unknown
LoggerAnalyticsModule	identify	unknown
LoggerAnalyticsModule	page	unknown
LoggerAnalyticsModule	screen	unknown
LoggerAnalyticsModule	track	unknown
LoggerAnalyticsModule	reset	unknown
AnalyticsTracker	submitGameOverAnalytics	unknown
AnalyticsTracker	nonInteraction	number
AnalyticsTracker	sendAnalyticsForExplicitAction	unknown
AnalyticsTracker	sendAnalyticsForCompletedTurn	unknown
AnalyticsTracker	_sendAnalyticsForCurrentGameSession	unknown
AnalyticsUtil	RecordedDaysSeenOn	array
AnalyticsUtil	convertDaysSeenOnFromArrayToObject	unknown
AnalyticsUtil	recordedDayIndexForRegistrationAndSeenOn	unknown
AnalyticsUtil	nameForSeenOnDay	unknown
Logger	_hue	number
Logger	_padLength	number
Logger	_modules	object
Logger	enabled	boolean
Logger	isRecording	unknown
Logger	recordedBuffer	array
Logger	startRecording	unknown
Logger	recordingFilter	unknown
Logger	record	unknown
Logger	endRecording	unknown
Logger	log	unknown
Logger	debug	unknown
Logger	warn	unknown
Logger	error	unknown
Logger	group	unknown
Logger	groupEnd	unknown
Logger	module	unknown
Logger	yieldColor	unknown
Logger	terminalStylize	unknown
Session	status	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
Session	method	string
ReplayEngine	create	unknown
ReplayEngine	getInstance	unknown
ReplayEngine	current	unknown
ReplayEngine	reset	unknown
_ReplayEngine	_currentDeserializedStep	null
_ReplayEngine	_currentStepStartedAt	null
_ReplayEngine	_currentStepTimestamp	null
_ReplayEngine	_currentStepDelay	null
_ReplayEngine	_currentStepDelayBase	null
_ReplayEngine	_currentStepDelayClamped	null
_ReplayEngine	_currentStepDelayCulled	null
_ReplayEngine	_currentStepDelayScale	null
_ReplayEngine	_currentUIEventIndex	number
_ReplayEngine	_currentUIEventStartedAt	null
_ReplayEngine	_currentUIEventDelay	null
_ReplayEngine	_opponentStepBuffer	null
_ReplayEngine	_pausedAt	null
Achievement	id	unknown
Achievement	title	unknown
Achievement	description	unknown
Achievement	progressRequired	unknown
Achievement	rewards	unknown
Achievement	enabled	boolean
Achievement	progressForCompletingQuestId	unknown
Achievement	progressForGameDataForPlayerId	unknown
Achievement	progressForCrafting	unknown
Achievement	progressForDisenchanting	unknown
Achievement	progressForCardCollection	unknown
Achievement	progressForAchievingRank	unknown
Achievement	progressForArmoryTransaction	unknown
Achievement	progressForReferralEvent	unknown
Achievement	progressForFactionProgression	unknown
Achievement	progressForReceivingCosmeticChest	unknown
Achievement	progressForLoggingIn	unknown
Achievement	getLoginAchievementStartsMoment	unknown
Achievement	rewardUnlockMessage	unknown
Achievement	progressForOpeningSpiritOrb	unknown
Achievement	getId	unknown
Achievement	getTitle	unknown
Achievement	getDescription	unknown
Achievement	getRewards	unknown
AchievementsFactory	_achievementsCache	null
AchievementsFactory	_enabledAchievementsCache	null
AchievementsFactory	_generateCache	unknown
AchievementsFactory	achievementForIdentifier	unknown
AchievementsFactory	getEnabledAchievementsMap	unknown
ShopAchievement	id	string
ShopAchievement	title	unknown
ShopAchievement	description	unknown
ShopAchievement	progressRequired	number
ShopAchievement	rewards	unknown
ShopAchievement	cards	array
ShopAchievement	enabled	boolean
ShopAchievement	progressForArmoryTransaction	unknown
ShopAchievement	id	string
ShopAchievement	title	unknown
ShopAchievement	description	unknown
ShopAchievement	progressRequired	number
ShopAchievement	rewards	unknown
ShopAchievement	cards	array
ShopAchievement	enabled	boolean
ShopAchievement	progressForArmoryTransaction	unknown
NamasteAchievement	id	string
NamasteAchievement	title	unknown
NamasteAchievement	description	unknown
NamasteAchievement	progressRequired	number
NamasteAchievement	rewards	unknown
NamasteAchievement	enabled	boolean
NamasteAchievement	progressForArmoryTransaction	unknown
ShopAchievement	id	string
ShopAchievement	title	unknown
ShopAchievement	description	unknown
ShopAchievement	progressRequired	number
ShopAchievement	rewards	unknown
ShopAchievement	cards	array
ShopAchievement	enabled	boolean
ShopAchievement	progressForArmoryTransaction	unknown
WelcomeToCraftingAchievement	id	string
WelcomeToCraftingAchievement	title	unknown
WelcomeToCraftingAchievement	description	unknown
WelcomeToCraftingAchievement	progressRequired	number
WelcomeToCraftingAchievement	rewards	unknown
WelcomeToCraftingAchievement	spirit	number
WelcomeToCraftingAchievement	enabled	boolean
WelcomeToCraftingAchievement	progressForDisenchanting	unknown
BloodbornAchievement	id	string
BloodbornAchievement	title	unknown
BloodbornAchievement	description	unknown
BloodbornAchievement	progressRequired	number
BloodbornAchievement	rewards	unknown
BloodbornAchievement	spiritOrb	number
BloodbornAchievement	enabled	boolean
BloodbornAchievement	progressForFactionProgression	unknown
WorldExplorerAchievement	id	string
WorldExplorerAchievement	title	unknown
WorldExplorerAchievement	description	unknown
