function_name	file	parameters	line_number
onFoundGame	app/application.coffee	foundGameListingData	1530
onContinueGame	app/application.coffee		1596
onCancelContinueGame	app/application.coffee	errorMessage	1605
stopListeningForContinueGame	app/application.coffee		1613
getFactionImage	app/application.coffee	factionId, opponent = false	2154
onActiveGame	app/application.coffee		2328
onTerminate	app/application.coffee		2332
isGameReady	app/application.coffee	gameAttrs,jobAttrs	2432
isFriendlyGameReady	app/application.coffee	gameAttrs,jobAttrs	2455
isRankedGameReady	app/application.coffee	gameAttrs,jobAttrs	2461
isCasualGameReady	app/application.coffee	gameAttrs,jobAttrs	2475
isGauntletGameReady	app/application.coffee	gameAttrs,jobAttrs	2481
isSinglePlayerGameReady	app/application.coffee	gameAttrs,jobAttrs	2487
isBossBattleGameReady	app/application.coffee	gameAttrs,jobAttrs	2493
isRiftGameReady	app/application.coffee	gameAttrs,jobAttrs	2501
audio_engine	app/audio/audio_engine.js		27
audio_object	app/audio/audio_object.js	options	11
music_object	app/audio/music_object.js	options	7
sound_effect_object	app/audio/sound_effect_object.js	options	7
ActionStateRecord#constructor	app/common/actionStateRecord.coffee		34
ActionStateRecord#getCurrentState	app/common/actionStateRecord.coffee		57
ActionStateRecord#getCurrentStateForEventType	app/common/actionStateRecord.coffee	eventType	64
ActionStateRecord#getStateAtAction	app/common/actionStateRecord.coffee	action	72
ActionStateRecord#getStateAtActionForEventType	app/common/actionStateRecord.coffee	action, eventType	81
ActionStateRecord#_getStateIndexForEventType	app/common/actionStateRecord.coffee	actionIndex, eventType	84
ActionStateRecord#_getLastActionIndexRecorded	app/common/actionStateRecord.coffee		87
ActionStateRecord#_getLastActionIndexRecordedForEventType	app/common/actionStateRecord.coffee	eventType	93
ActionStateRecord#_getLastActionIndexRecordedAtOrBeforeActionIndex	app/common/actionStateRecord.coffee	actionIndex	100
ActionStateRecord#_getLastActionIndexRecordedAtOrBeforeActionIndexForEventType	app/common/actionStateRecord.coffee	actionIndex, eventType	112
ActionStateRecord#getHasRecordedStateForActions	app/common/actionStateRecord.coffee		127
ActionStateRecord#getIsListeningToEvents	app/common/actionStateRecord.coffee		134
ActionStateRecord#startListeningToEvents	app/common/actionStateRecord.coffee	eventBus	137
ActionStateRecord#stopListeningToEvents	app/common/actionStateRecord.coffee		155
