child_class	parent_class	file
Session	EventEmitter	app/common/session2.coffee
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/bronzeStarterBundleAchievement.coffee
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/goldStarterBundleAchievement.coffee
NamasteAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/namasteAchievement.coffee
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/silverStarterBundleAchievement.coffee
WelcomeToCraftingAchievement	Achievement	app/sdk/achievements/craftingBasedAchievements/welcomeToCraftingAchievement.coffee
BloodbornAchievement	Achievement	app/sdk/achievements/factionProgressBasedAchievements/bloodbornAchievement.coffee
WorldExplorerAchievement	Achievement	app/sdk/achievements/factionProgressBasedAchievements/worldExplorerAchievement.coffee
BestOfFriendsAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/bestOfFriendsAchievement.coffee
EnteringGauntletAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/enteringGauntletAchievement.coffee
HelpingHandAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/helpingHandAchievement.coffee
HomeTurfAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/homeTurfAchievement.coffee
TheArtOfWarAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/theArtOfWarAchievement.coffee
CollectorSupremeAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/collectorSupremeAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/earthSisterAchievement.coffee
FirstCosmeticChestAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/firstLootCrateAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/lightningSisterAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/sandSisterAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/shadowSisterAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/sunSisterAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/swornSisterAchievement.coffee
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/windSisterAchievement.coffee
BNPromoAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee
ChristmasLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee
CoreshatterLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee
EarlyFeb2018LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee
FathersDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee
FourthOfJulyLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee
Frostfire2017BonusLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee
Frostfire2017LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee
HalloweenLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee
LaborDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee
MemorialDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee
MidAugLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee
MidNov2017LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee
NewPlayerGoldLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee
NewPlayerSpiritLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee
SummerLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee
ThanksgivingLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee
MythronOrb1Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb1Achievement.coffee
MythronOrb2Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb2Achievement.coffee
MythronOrb3Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb3Achievement.coffee
MythronOrb4Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb4Achievement.coffee
MythronOrb5Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb5Achievement.coffee
MythronOrb6Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb6Achievement.coffee
MythronOrb7Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb7Achievement.coffee
EpicQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/epicQuestorAchievement.coffee
IndomitableSpiritAchievement	Achievement	app/sdk/achievements/questBasedAchievements/indomitableSpiritAchievement.coffee
JourneymanQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/journeymanQuestorAchievement.coffee
LegendaryQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/legendaryQuestorAchievement.coffee
SilverDivisionAchievement	Achievement	app/sdk/achievements/rankBasedAchievements/silverDivisionAchievement.coffee
FirstReferralPurchase	Achievement	app/sdk/achievements/referralBasedAchievements/firstReferralPurchaseAchievement.coffee
WartechGeneralFaction1Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee
WartechGeneralFaction2Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee
WartechGeneralFaction3Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee
WartechGeneralFaction4Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee
WartechGeneralFaction5Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee
WartechGeneralFaction6Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee
Action	SDKObject	app/sdk/actions/action.coffee
ActivateSignatureCardAction	Action	app/sdk/actions/activateSignatureCardAction.coffee
ApplyCardToBoardAction	Action	app/sdk/actions/applyCardToBoardAction.coffee
ApplyExhaustionAction	Action	app/sdk/actions/applyExhaustionAction.coffee
ApplyModifierAction	Action	app/sdk/actions/applyModifierAction.coffee
AttackAction	DamageAction	app/sdk/actions/attackAction.coffee
BonusManaAction	Action	app/sdk/actions/bonusManaAction.coffee
BonusManaCoreAction	Action	app/sdk/actions/bonusManaCoreAction.coffee
BurnCardAction	DrawCardAction	app/sdk/actions/burnCardAction.coffee
CloneEntityAction	PlayCardSilentlyAction	app/sdk/actions/cloneEntityAction.coffee
CloneEntityAsTransformAction	CloneEntityAction	app/sdk/actions/cloneEntityAsTransformAction.coffee
DamageAction	Action	app/sdk/actions/damageAction.coffee
DamageAsAttackAction	DamageAction	app/sdk/actions/damageAsAttackAction.coffee
DieAction	RemoveAction	app/sdk/actions/dieAction.coffee
DrawCardAction	PutCardInHandAction	app/sdk/actions/drawCardAction.coffee
DrawStartingHandAction	Action	app/sdk/actions/drawStartingHandAction.coffee
DrawToXCardsAction	Action	app/sdk/actions/drawToXCardsAction.coffee
EndFollowupAction	StopBufferingEventsAction	app/sdk/actions/endFollowupAction.coffee
EndTurnAction	Action	app/sdk/actions/endTurnAction.coffee
FightAction	Action	app/sdk/actions/fightAction.coffee
ForcedAttackAction	AttackAction	app/sdk/actions/forcedAttackAction.coffee
GenerateSignatureCardAction	Action	app/sdk/actions/generateSignatureCardAction.coffee
HealAction	Action	app/sdk/actions/healAction.coffee
HurtingDamageAction	TrueDamageAction	app/sdk/actions/hurtingDamageAction.coffee
KillAction	Action	app/sdk/actions/killAction.coffee
MoveAction	Action	app/sdk/actions/moveAction.coffee
PlayCardAction	ApplyCardToBoardAction	app/sdk/actions/playCardAction.coffee
PlayCardAsTransformAction	PlayCardSilentlyAction	app/sdk/actions/playCardAsTransformAction.coffee
PlayCardFromHandAction	PlayCardAction	app/sdk/actions/playCardFromHandAction.coffee
PlayCardSilentlyAction	ApplyCardToBoardAction	app/sdk/actions/playCardSilentlyAction.coffee
PlaySignatureCardAction	PlayCardAction	app/sdk/actions/playSignatureCardAction.coffee
PutCardInDeckAction	Action	app/sdk/actions/putCardInDeckAction.coffee
PutCardInHandAction	Action	app/sdk/actions/putCardInHandAction.coffee
RandomDamageAction	DamageAction	app/sdk/actions/randomDamageAction.coffee
RandomPlayCardSilentlyAction	PlayCardSilentlyAction	app/sdk/actions/randomPlayCardSilentlyAction.coffee
RandomTeleportAction	TeleportAction	app/sdk/actions/randomTeleportAction.coffee
RefreshArtifactChargesAction	Action	app/sdk/actions/refreshArtifactChargesAction.coffee
RefreshExhaustionAction	Action	app/sdk/actions/refreshExhaustionAction.coffee
RemoveAction	Action	app/sdk/actions/removeAction.coffee
RemoveArtifactsAction	Action	app/sdk/actions/removeArtifactsAction.coffee
RemoveCardFromDeckAction	Action	app/sdk/actions/removeCardFromDeckAction.coffee
RemoveCardFromHandAction	Action	app/sdk/actions/removeCardFromHandAction.coffee
RemoveManaCoreAction	Action	app/sdk/actions/removeManaCoreAction.coffee
RemoveModifierAction	Action	app/sdk/actions/removeModifierAction.coffee
RemoveRandomArtifactAction	Action	app/sdk/actions/removeRandomArtifactAction.coffee
ReplaceCardFromHandAction	PutCardInHandAction	app/sdk/actions/replaceCardFromHandAction.coffee
ResignAction	DieAction	app/sdk/actions/resignAction.coffee
RestoreChargeToAllArtifactsAction	Action	app/sdk/actions/restoreChargeToAllArtifactsAction.coffee
RestoreManaAction	Action	app/sdk/actions/restoreManaAction.coffee
RevealHiddenCardAction	Action	app/sdk/actions/revealHiddenCardAction.coffee
RollbackToSnapshotAction	Action	app/sdk/actions/rollbackToSnapshotAction.coffee
SetDamageAction	Action	app/sdk/actions/setDamageAction.coffee
SetExhaustionAction	Action	app/sdk/actions/setExhaustionAction.coffee
StartTurnAction	Action	app/sdk/actions/startTurnAction.coffee
StopBufferingEventsAction	Action	app/sdk/actions/stopBufferingEventsAction.coffee
SwapGeneralAction	Action	app/sdk/actions/swapGeneralAction.coffee
SwapUnitAllegianceAction	Action	app/sdk/actions/swapUnitAllegianceAction.coffee
SwapUnitsAction	Action	app/sdk/actions/swapUnitsAction.coffee
TakeAnotherTurnAction	Action	app/sdk/actions/takeAnotherTurnAction.coffee
TeleportAction	Action	app/sdk/actions/teleportAction.coffee
TeleportBehindUnitAction	TeleportAction	app/sdk/actions/teleportBehindUnitAction.coffee
TeleportInFrontOfUnitAction	TeleportAction	app/sdk/actions/teleportInFrontOfUnitAction.coffee
TrueDamageAction	DamageAction	app/sdk/actions/trueDamageAction.coffee
UpdateSignatureCardAction	Action	app/sdk/actions/updateSignatureCardAction.coffee
StaticAgent	BaseAgent	app/sdk/agents/staticAgent.coffee
Artifact	Card	app/sdk/artifacts/artifact.coffee
BattleMapTemplate	SDKObject	app/sdk/battleMapTemplate.coffee
Board	SDKObject	app/sdk/board.coffee
Card	SDKObject	app/sdk/cards/card.coffee
Deck	SDKObject	app/sdk/cards/deck.coffee
AdvancedAbyssianChallenge1	Challenge	app/sdk/challenges/abyssian/AdvancedAbyssianChallenge1.coffee
BeginnerAbyssianChallenge1	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge1.coffee
BeginnerAbyssianChallenge2	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge2.coffee
BeginnerAbyssianChallenge3	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge3.coffee
BeginnerAbyssianChallenge4	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge4.coffee
BeginnerAbyssianChallenge5	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge5.coffee
