attack	12	0,505,404,100,100,1,1010,707,100,100,2,1010,606,100,100,3,1010,505,100,100,4,1010,404,100,100,5,1010,303,100,100,6,1010,202,100,100,7,1010,101,100,100,8,1010,0,100,100,9,909,909,100,100,10,909,808,100,100,11,909,707,100,100,12,909,606,100,100,13,909,505,100,100,14,909,404,100,100,15,909,303,100,100,16,909,202,100,100,17,909,101,100,100,18,909,0,100,100,19,808,909,100,100,20,808,808,100,100
breathing	7	0,808,808,100,100,1,808,707,100,100,2,808,606,100,100,3,808,505,100,100,4,808,404,100,100,5,808,303,100,100,6,808,202,100,100,7,808,101,100,100,8,808,0,100,100,9,707,909,100,100,10,707,808,100,100,11,707,707,100,100,12,707,606,100,100,13,707,505,100,100,14,707,404,100,100,15,707,303,100,100,16,707,202,100,100,17,707,101,100,100,18,707,0,100,100,19,606,909,100,100
cast	12	0,606,808,100,100,1,606,707,100,100,2,606,606,100,100,3,606,505,100,100,4,606,404,100,100,5,606,303,100,100,6,606,202,100,100,7,606,101,100,100,8,606,0,100,100,9,505,909,100,100,10,505,808,100,100,11,505,707,100,100
castend	12	0,505,606,100,100,1,505,505,100,100,2,1010,808,100,100
castloop	12	0,505,303,100,100,1,505,202,100,100,2,505,101,100,100,3,505,0,100,100,4,404,909,100,100
caststart	12	0,404,808,100,100,1,404,707,100,100,2,404,606,100,100
death	12	0,404,505,100,100,1,404,404,100,100,2,404,303,100,100,3,404,202,100,100,4,404,101,100,100,5,404,0,100,100,6,303,909,100,100,7,303,808,100,100,8,303,707,100,100,9,303,606,100,100,10,303,505,100,100,11,303,404,100,100,12,303,303,100,100,13,303,202,100,100,14,303,101,100,100,15,303,0,100,100,16,202,909,100,100,17,202,808,100,100,18,202,707,100,100,19,202,606,100,100,20,202,505,100,100,21,202,404,100,100,22,202,303,100,100,23,202,202,100,100,24,202,101,100,100,25,202,0,100,100
hit	12	0,101,909,100,100,1,101,808,100,100,2,101,707,100,100
idle	12	0,808,808,100,100,1,101,606,100,100,2,101,505,100,100,3,101,404,100,100,4,101,303,100,100,5,101,202,100,100,6,101,101,100,100,7,101,0,100,100,8,0,909,100,100,9,0,808,100,100
run	14	0,0,707,100,100,1,0,606,100,100,2,0,505,100,100,3,0,404,100,100,4,0,303,100,100,5,0,202,100,100,6,0,101,100,100,7,0,0,100,100
