attack	12	0,630,0,125,125,1,1134,882,125,125,2,1134,756,125,125,3,1134,630,125,125,4,1134,504,125,125,5,1134,378,125,125,6,1134,252,125,125,7,1134,126,125,125,8,1134,0,125,125,9,1008,882,125,125,10,1008,756,125,125,11,1008,630,125,125,12,1008,504,125,125,13,1008,378,125,125,14,1008,252,125,125,15,1008,126,125,125,16,1008,0,125,125,17,882,882,125,125,18,882,756,125,125,19,630,0,125,125
breathing	8	0,882,630,125,125,1,882,630,125,125,2,882,630,125,125,3,882,630,125,125,4,882,630,125,125,5,882,504,125,125,6,882,378,125,125,7,882,252,125,125,8,882,252,125,125,9,882,252,125,125,10,882,252,125,125,11,882,252,125,125,12,882,378,125,125,13,882,504,125,125
cast	12	0,882,126,125,125,1,882,0,125,125,2,756,882,125,125,3,756,756,125,125,4,756,630,125,125,5,756,504,125,125,6,756,378,125,125,7,756,252,125,125,8,630,0,125,125
castend	12	0,756,126,125,125,1,756,0,125,125,2,630,882,125,125,3,630,756,125,125,4,630,0,125,125
castloop	12	0,630,630,125,125,1,630,504,125,125,2,630,378,125,125,3,630,252,125,125,4,630,126,125,125,5,1260,0,125,125
caststart	12	0,630,0,125,125,1,630,0,125,125,2,504,882,125,125,3,504,756,125,125,4,504,630,125,125,5,504,504,125,125
death	12	0,630,0,125,125,1,504,378,125,125,2,504,252,125,125,3,504,126,125,125,4,504,0,125,125,5,378,882,125,125,6,378,756,125,125,7,378,630,125,125,8,378,504,125,125,9,378,378,125,125,10,378,252,125,125,11,378,126,125,125,12,378,0,125,125,13,252,882,125,125,14,252,756,125,125,15,252,630,125,125,16,252,504,125,125,17,252,378,125,125
hit	12	0,630,0,125,125,1,504,378,125,125,2,252,252,125,125
idle	12	0,882,630,125,125,1,882,504,125,125,2,882,378,125,125,3,882,252,125,125,4,252,126,125,125,5,252,0,125,125,6,126,882,125,125,7,126,756,125,125,8,126,630,125,125,9,126,504,125,125,10,126,378,125,125,11,126,252,125,125,12,126,126,125,125,13,126,0,125,125
run	12	0,0,882,125,125,1,0,756,125,125,2,0,630,125,125,3,0,504,125,125,4,0,378,125,125,5,0,252,125,125,6,0,126,125,125,7,0,0,125,125
