attack	12	0,540,135,134,134,1,270,1080,134,134,2,270,945,134,134,3,270,810,134,134,4,270,675,134,134,5,270,540,134,134,6,270,405,134,134,7,270,270,134,134,8,270,135,134,134,9,270,0,134,134,10,135,1890,134,134,11,135,1755,134,134,12,135,1620,134,134,13,135,1485,134,134,14,135,1350,134,134,15,135,1215,134,134,16,135,1080,134,134,17,135,945,134,134,18,135,810,134,134,19,135,675,134,134,20,135,540,134,134,21,135,405,134,134,22,135,270,134,134,23,135,135,134,134,24,135,0,134,134,25,0,1890,134,134,26,0,1755,134,134,27,0,1620,134,134,28,0,1485,134,134,29,0,1350,134,134,30,0,1215,134,134,31,0,1080,134,134,32,0,945,134,134,33,0,810,134,134,34,0,675,134,134,35,0,540,134,134,36,0,405,134,134,37,0,270,134,134,38,0,135,134,134,39,0,0,134,134
breathing	7	0,540,1215,134,134,1,540,1080,134,134,2,540,945,134,134,3,540,810,134,134,4,540,675,134,134,5,540,540,134,134,6,540,405,134,134,7,540,270,134,134,8,1080,405,134,134,9,540,0,134,134,10,405,1890,134,134,11,405,1755,134,134,12,405,1620,134,134,13,405,1485,134,134
cast	12	0,945,945,134,134,1,945,270,134,134,2,945,135,134,134,3,945,0,134,134,4,810,1890,134,134,5,810,1755,134,134,6,810,1620,134,134,7,810,1485,134,134,8,810,1350,134,134,9,810,1215,134,134,10,810,1080,134,134,11,810,945,134,134,12,810,810,134,134
castend	12	0,945,810,134,134,1,945,675,134,134,2,945,540,134,134,3,945,405,134,134
castloop	12	0,945,1350,134,134,1,945,1215,134,134,2,945,1080,134,134,3,945,945,134,134
caststart	12	0,540,135,134,134,1,1080,270,134,134,2,1080,135,134,134,3,1080,0,134,134,4,945,1890,134,134,5,945,1755,134,134,6,945,1620,134,134,7,945,1485,134,134
death	12	0,540,135,134,134,1,405,1350,134,134,2,540,1350,134,134,3,405,1215,134,134,4,405,1080,134,134,5,405,945,134,134,6,405,810,134,134,7,405,675,134,134,8,405,540,134,134,9,405,405,134,134,10,405,270,134,134,11,405,135,134,134,12,405,0,134,134,13,270,1890,134,134,14,270,1755,134,134,15,270,1620,134,134,16,270,1485,134,134,17,270,1350,134,134,18,270,1215,134,134
hit	12	0,540,135,134,134,1,540,1485,134,134,2,540,1350,134,134
idle	12	0,675,1620,134,134,1,675,1485,134,134,2,675,1350,134,134,3,675,1215,134,134,4,675,1080,134,134,5,675,945,134,134,6,675,810,134,134,7,675,675,134,134,8,675,540,134,134,9,675,405,134,134,10,675,270,134,134,11,675,135,134,134,12,675,0,134,134,13,540,1890,134,134,14,540,1755,134,134,15,540,1620,134,134
run	14	0,810,675,134,134,1,810,540,134,134,2,810,405,134,134,3,810,270,134,134,4,810,135,134,134,5,810,0,134,134,6,675,1890,134,134,7,675,1755,134,134
