attack	12	0,81,810,80,80,1,81,729,80,80,2,81,648,80,80,3,81,567,80,80,4,81,486,80,80,5,81,405,80,80,6,81,324,80,80,7,81,243,80,80,8,81,162,80,80,9,81,81,80,80,10,81,0,80,80,11,0,891,80,80,12,0,810,80,80,13,0,729,80,80,14,0,648,80,80,15,0,567,80,80,16,0,486,80,80
breathing	7	0,0,405,80,80,1,0,405,80,80,2,0,405,80,80,3,0,405,80,80,4,0,405,80,80,5,0,324,80,80,6,0,243,80,80,7,0,162,80,80,8,0,162,80,80,9,0,162,80,80,10,0,162,80,80,11,0,162,80,80,12,0,81,80,80,13,0,0,80,80
cast	12	0,486,81,80,80,1,405,729,80,80,2,405,648,80,80,3,405,567,80,80,4,405,486,80,80,5,405,405,80,80,6,405,324,80,80,7,405,243,80,80,8,405,162,80,80,9,405,81,80,80,10,405,0,80,80,11,324,891,80,80,12,324,810,80,80
castend	12	0,486,162,80,80,1,486,243,80,80,2,486,324,80,80,3,243,162,80,80
castloop	12	0,486,81,80,80,1,486,0,80,80,2,405,891,80,80,3,405,810,80,80
caststart	12	0,243,162,80,80,1,486,324,80,80,2,486,243,80,80,3,486,162,80,80
death	12	0,243,81,80,80,1,243,0,80,80,2,162,891,80,80,3,162,810,80,80,4,162,729,80,80,5,162,648,80,80,6,162,567,80,80,7,162,486,80,80,8,162,405,80,80,9,162,324,80,80,10,162,243,80,80,11,162,162,80,80,12,162,81,80,80
hit	12	0,243,81,80,80,1,162,0,80,80,2,81,891,80,80
idle	12	0,324,81,80,80,1,324,0,80,80,2,243,891,80,80,3,243,810,80,80,4,243,729,80,80,5,243,648,80,80,6,243,567,80,80,7,243,486,80,80,8,243,405,80,80,9,243,324,80,80,10,243,243,80,80,11,486,405,80,80
run	14	0,324,729,80,80,1,324,648,80,80,2,324,567,80,80,3,324,486,80,80,4,324,405,80,80,5,324,324,80,80,6,324,243,80,80,7,324,162,80,80
