name	emitter_type	max_particles	texture
ash	gravity	30	47E234B3-14AB-4F70-BF44-C528803C366B
bird_001	gravity	20.0	bird_001.png
bird_002	gravity	20.0	bird_002.png
bird_003	gravity	50.0	bird_003.png
bird_004	gravity	50.0	bird_004.png
bluedustfloating	gravity	50.0	particleTexture.png
bubble_constant	gravity	500.0	bubble_constant.png
card_appear_particles	gravity	200.0	
circleswirls	gravity	10.0	circleswirls.png
cloud_001	gravity	6	cloud_001.png
cloud_002	gravity	6	cloud_002.png
cloud_003	gravity	6	cloud_003.png
cloud_004	gravity	6	cloud_004.png
cloud_005	gravity	6	cloud_005.png
cloud_006	gravity	6	cloud_006.png
cloud_007	gravity	6	cloud_007.png
dotdarkhot	gravity	14	C502A51C-0B46-4447-A08B-6E6419464ABB
doticecold	gravity	12	C502A51C-0B46-4447-A08B-6E6419464ABB
dotselectunit	gravity	12	C502A51C-0B46-4447-A08B-6E6419464ABB
dotsquare	gravity	25	19273422-4921-4086-B05B-6EED7AE09643
dotsquaregreen	gravity	20	0B369214-36D2-456B-B727-F0023C003835
dotsquareyellow	gravity	15	78958C99-27F7-4842-8CBA-04006EB185AD
dotvalidattack	gravity	10	140CCEE3-F6A2-4EB9-8D26-1816F125F7D6
dotwaterfall	gravity	40	0193F240-AF19-446F-8E73-6CAB27D3EBB5
dotwaterfallangle	gravity	25	35FBB519-02C6-4257-AF1F-88237A336CE8
fireexplosion	gravity	200	fireexplosion.png
force_field_blue_particles	gravity	30.0	force_field_particle.png
force_field_particles	gravity	30.0	force_field_particle.png
gold_tip_button_particles	gravity	800.0	gold_tip_button_particles.png
inwards_rings	gravity	8.0	ring_segment.png
level_up_wave	gravity	800.0	level_up_wave.png
lines_towards_ring	radial	20.0	lines_towards_ring.png
maelstrom_dust	gravity	800.0	
managlow	gravity	12.0	particleTexture.png
manaspent	gravity	60.0	particleTexture.png
manaspring	gravity	100	manaspring.png
manaswirl	gravity	40.0	manaswirl.png
petals_001	gravity	20	petals_001.png
petals_002	gravity	20	petals_002.png
petals_003	gravity	20	petals_003.png
phalanx	gravity	30	phalanx.png
pixelpuff	gravity	200.0	pixelpuff.png
pixelteleport	gravity	60.0	pixelteleport.png
projectile_trail_particles	gravity	50.0	projectile_trail_particles.png
rain	gravity	250	rain.png
rank_chevron_inwards_particles	radial	100.0	rank_chevron_inwards_particle.png
rays	gravity	100	
readiness	gravity	2	readiness.png
ring_flash	gravity	10.0	ring_flash.png
ring_glow_circle	gravity	20.0	ring_glow_circle.png
ripple	gravity	200	ripple.png
siphon	gravity	40	siphon.png
snow	gravity	60	snow.png
snowground	gravity	60	snowground.png
snowsideways	gravity	20	3A1366E7-807F-4A95-B5EC-32B11FD241AB
soot_ball	gravity	20.0	particleTexture.png
speech_bubble	gravity	300.0	
spiral_assemble_for_card_reward	radial	100.0	spiral_assemble_for_card_reward.png
teleport_ball	gravity	100.0	particleTexture.png
unit_dissolve	gravity	50.0	unit_dissolve.png
verticalstreak	gravity	70.0	verticalstreak.png
victory_decal_fireworks	gravity	250.0	victory_decal_fireworks.png
yellowdustsideways	gravity	85	35BFEA23-03CB-4B87-A225-F3FCB0806BA6
