shader_file	type	name
BloomFragment.glsl	sampler2D	u_previousBloom
BloomFragment.glsl	float	u_transition
CardAngledGradientShine.glsl	float	u_intensity
CardAngledGradientShine.glsl	float	u_phase
CardAngledGradientShine.glsl	vec2	u_texResolution
CardAngledGradientShine.glsl	float	u_time
CausticFragment.glsl	vec3	u_color
CausticFragment.glsl	vec2	u_texResolution
CausticFragment.glsl	float	u_time
CausticPrismaticGlowFragment.glsl	float	u_time
ChromaticFlareFragment.glsl	float	u_amplitude
ChromaticFlareFragment.glsl	float	u_frequency
ChromaticFlareFragment.glsl	float	u_phase
ChromaticFlareFragment.glsl	vec2	u_size
ChromaticFlareFragment.glsl	float	u_smoothstepMax
ChromaticFlareFragment.glsl	float	u_smoothstepMin
ChromaticFlareFragment.glsl	float	u_time
ChromaticFragment.glsl	float	u_amplitude
ChromaticFragment.glsl	float	u_frequency
ChromaticFragment.glsl	vec2	u_resolution
ChromaticFragment.glsl	float	u_smoothstepMax
ChromaticFragment.glsl	float	u_smoothstepMin
ChromaticFragment.glsl	float	u_time
ChromaticVertex.glsl	vec2	u_aberrationScale
ChromaticVertex.glsl	vec2	u_resolution
ChromaticVertex.glsl	float	u_time
CoreGemEdgesAndColorizeFragment.glsl	vec3	u_colorBlackPoint
CoreGemEdgesAndColorizeFragment.glsl	vec3	u_colorMidPoint
CoreGemEdgesAndColorizeFragment.glsl	vec2	u_texResolution
CoreGemFragment.glsl	samplerCube	u_cubeMap
CoreGemFragment.glsl	float	u_gemSeed
CoreGemFragment.glsl	vec2	u_texResolution
CoreGemFragment.glsl	float	u_time
DepthFragment.glsl	vec2	u_resolution
DepthTestFragment.glsl	sampler2D	u_depthMap
DepthTestFragment.glsl	vec2	u_resolution
DepthTestVertex.glsl	float	u_depthModifier
DepthTestVertex.glsl	float	u_depthOffset
DepthTestVertex.glsl	vec2	u_resolution
DepthVertex.glsl	float	u_depthModifier
DepthVertex.glsl	float	u_depthOffset
DissolveFragment.glsl	float	u_amplitude
DissolveFragment.glsl	float	u_edgeFalloff
DissolveFragment.glsl	float	u_frequency
DissolveFragment.glsl	float	u_seed
DissolveFragment.glsl	float	u_time
DissolveFragment.glsl	float	u_vignetteStrength
DissolveFromCenterWithDiscFragment.glsl	float	u_phase
DissolveFromCenterWithDiscFragment.glsl	vec2	u_texResolution
DissolveFromCenterWithDiscFragment.glsl	float	u_time
DistortionFragment.glsl	sampler2D	u_depthMap
DistortionFragment.glsl	float	u_fresnelBias
DistortionFragment.glsl	float	u_reflection
DistortionFragment.glsl	sampler2D	u_refractMap
DistortionFragment.glsl	float	u_refraction
DistortionFragment.glsl	vec2	u_resolution
DistortionVertex.glsl	float	u_depthModifier
DistortionVertex.glsl	float	u_depthOffset
DistortionVertex.glsl	vec2	u_resolution
EnergyBallFragment.glsl	float	u_noiseLevel
EnergyBallFragment.glsl	vec2	u_texResolution
EnergyBallFragment.glsl	float	u_time
EnergyBallFragment.glsl	float	u_timeScale
ExtrusionBlurFragment.glsl	float	u_decay
ExtrusionBlurFragment.glsl	vec2	u_direction
ExtrusionBlurFragment.glsl	float	u_frequency
ExtrusionBlurFragment.glsl	float	u_ramp
ExtrusionBlurFragment.glsl	float	u_rampMax
ExtrusionBlurFragment.glsl	float	u_rampMin
ExtrusionBlurFragment.glsl	float	u_speed
ExtrusionBlurFragment.glsl	float	u_spread
ExtrusionBlurFragment.glsl	float	u_time
FXAAFragment.glsl	vec2	u_resolution
FbmNoiseGradientMask.glsl	vec2	u_texResolution
FbmNoiseGradientMask.glsl	float	u_time
FbmNoiseRays.glsl	vec2	u_texResolution
FbmNoiseRays.glsl	float	u_time
FbmPolarFlareFragment.glsl	vec3	u_flareColor
FbmPolarFlareFragment.glsl	float	u_phase
FbmPolarFlareFragment.glsl	vec2	u_size
FbmPolarFlareFragment.glsl	float	u_time
FbmPolarFlareWipeFragment.glsl	float	u_phase
FbmPolarFlareWipeFragment.glsl	vec2	u_size
FbmPolarFlareWipeFragment.glsl	float	u_time
FindEdgesFragment.glsl	vec2	u_texResolution
FireLinearWaveFragment.glsl	float	u_phase
FireLinearWaveFragment.glsl	vec2	u_resolution
FireLinearWaveFragment.glsl	float	u_time
FireRingFlareWarpedFragment.glsl	vec3	u_color
FireRingFlareWarpedFragment.glsl	float	u_phase
FireRingFlareWarpedFragment.glsl	vec2	u_texResolution
FireRingFlareWarpedFragment.glsl	float	u_time
FireRingFragment.glsl	vec3	u_color
FireRingFragment.glsl	float	u_phase
FireRingFragment.glsl	vec2	u_texResolution
FireRingFragment.glsl	float	u_time
GlowFragment.glsl	vec4	u_color
GlowImageMapControlFragment.glsl	vec3	u_color
GlowImageMapControlFragment.glsl	float	u_gamma
GlowImageMapControlFragment.glsl	float	u_intensity
GlowImageMapControlFragment.glsl	float	u_levelsInBlack
GlowImageMapControlFragment.glsl	float	u_levelsInWhite
GlowImageMapControlFragment.glsl	vec2	u_texResolution
GlowImageMapControlFragment.glsl	float	u_time
GlowImageMapRippleFragment.glsl	float	u_intensity
GlowImageMapRippleFragment.glsl	vec2	u_texResolution
GlowImageMapRippleFragment.glsl	float	u_time
GlowNoiseFragment.glsl	float	u_amplitude
GlowNoiseFragment.glsl	vec4	u_color
GlowNoiseFragment.glsl	float	u_expandModifier
GlowNoiseFragment.glsl	float	u_frequency
GlowNoiseFragment.glsl	vec4	u_rampFrom
GlowNoiseFragment.glsl	vec4	u_rampTransition
GlowNoiseFragment.glsl	vec2	u_range
GlowNoiseFragment.glsl	vec2	u_resolution
GlowNoiseFragment.glsl	float	u_time
GlowNoiseFragment.glsl	float	u_verticalFadeFromTop
GlowNoiseFragment.glsl	float	u_verticalFadeSpeed
GlowVertex.glsl	float	u_pulseMax
GlowVertex.glsl	float	u_pulseMin
GlowVertex.glsl	vec2	u_resolution
GlowVertex.glsl	vec2	u_size
GlowVertex.glsl	float	u_thickness
GlowVertex.glsl	float	u_time
GradientColorMapFragment.glsl	vec4	u_fromColorBlack
GradientColorMapFragment.glsl	vec4	u_fromColorMid
GradientColorMapFragment.glsl	vec4	u_fromColorWhite
GradientColorMapFragment.glsl	float	u_phase
GradientColorMapFragment.glsl	vec4	u_toColorBlack
GradientColorMapFragment.glsl	vec4	u_toColorMid
GradientColorMapFragment.glsl	vec4	u_toColorWhite
HighlightFragment.glsl	float	u_brightness
HighlightFragment.glsl	vec4	u_color
HighlightFragment.glsl	float	u_inBlack
HighlightFragment.glsl	float	u_inGamma
HighlightFragment.glsl	float	u_inWhite
HighlightFragment.glsl	float	u_intensity
HighlightFragment.glsl	float	u_outBlack
HighlightFragment.glsl	float	u_outWhite
HighlightFragment.glsl	float	u_threshold
HighlightFragment.glsl	float	u_verticalFadeFromTop
HighlightFragment.glsl	float	u_verticalFadeSpeed
HighlightVertex.glsl	float	u_frequency
HighlightVertex.glsl	float	u_pulseMax
HighlightVertex.glsl	float	u_pulseMin
HighlightVertex.glsl	float	u_time
HighpassFragment.glsl	float	u_intensity
HighpassFragment.glsl	float	u_threshold
HorizontalGlowFlareFragment.glsl	float	u_phase
HorizontalGlowFlareFragment.glsl	vec2	u_texResolution
HorizontalGlowFlareFragment.glsl	float	u_time
LensFlareFragment.glsl	vec2	u_origin
LensFlareFragment.glsl	float	u_rampThreshold
LensFlareFragment.glsl	vec2	u_texResolution
LensFlareFragment.glsl	float	u_time
LensNoiseFragment.glsl	float	u_flareAmount
LensNoiseFragment.glsl	vec2	u_texResolution
LensNoiseFragment.glsl	float	u_time
LevelsFragment.glsl	float	u_inBlack
LevelsFragment.glsl	float	u_inGamma
LevelsFragment.glsl	float	u_inWhite
LevelsFragment.glsl	float	u_outBlack
LevelsFragment.glsl	float	u_outWhite
LightingFragment.glsl	float	u_falloffModifier
LightingFragment.glsl	float	u_intensityModifier
LightingVertex.glsl	float	u_depthOffset
LightingVertex.glsl	float	u_depthRange
LightingVertex.glsl	mat4	u_depthRotationMatrix
LightingVertex.glsl	float	u_lightMapScale
LightingVertex.glsl	vec3	u_normal
MaskFragment.glsl	sampler2D	u_maskMap
MaskFragment.glsl	vec4	u_maskRect
MultipliedLightingFragment.glsl	vec3	u_ambientColor
MultipliedLightingFragment.glsl	sampler2D	u_lightMap
RadialBlurFragment.glsl	float	u_deadZone
RadialBlurFragment.glsl	float	u_decay
RadialBlurFragment.glsl	vec2	u_origin
RadialBlurFragment.glsl	float	u_ramp
RadialBlurFragment.glsl	float	u_spread
RadialBlurFragment.glsl	float	u_strength
RarityFlareFragment.glsl	float	u_phase
RarityFlareFragment.glsl	vec2	u_texResolution
RarityFlareFragment.glsl	float	u_time
RiftFireFragment.glsl	vec2	u_texResolution
RiftFireFragment.glsl	float	u_time
RiftLineFragment.glsl	float	u_progress
RiftLineFragment.glsl	vec2	u_texResolution
RiftLineFragment.glsl	float	u_time
ScatterOcclusionFragment.glsl	float	u_depthRange
ScatterOcclusionVertex.glsl	float	u_depthRange
ScatterRaysFragment.glsl	float	u_clamp
ScatterRaysFragment.glsl	float	u_decay
ScatterRaysFragment.glsl	float	u_density
ScatterRaysFragment.glsl	float	u_exposure
ScatterRaysFragment.glsl	float	u_weight
ShadowBlobFragment.glsl	vec3	u_color
ShadowBlobFragment.glsl	vec2	u_texResolution
ShadowBlobFragment.glsl	float	u_time
ShadowHighQualityFragment.glsl	vec2	u_anchor
ShadowHighQualityFragment.glsl	float	u_blurIntensityModifier
ShadowHighQualityFragment.glsl	float	u_blurShiftModifier
ShadowHighQualityFragment.glsl	float	u_intensity
ShadowHighQualityFragment.glsl	vec2	u_size
ShadowLowQualityFragment.glsl	vec2	u_anchor
ShadowLowQualityFragment.glsl	float	u_blurIntensityModifier
ShadowLowQualityFragment.glsl	float	u_blurShiftModifier
ShadowLowQualityFragment.glsl	float	u_intensity
ShadowLowQualityFragment.glsl	vec2	u_size
ShadowVertex.glsl	vec2	u_anchor
ShadowVertex.glsl	vec2	u_size
ShockwaveFragment.glsl	float	u_amplitude
ShockwaveFragment.glsl	float	u_fresnelBias
ShockwaveFragment.glsl	float	u_reflection
ShockwaveFragment.glsl	sampler2D	u_refractMap
ShockwaveFragment.glsl	float	u_refraction
ShockwaveFragment.glsl	vec2	u_resolution
ShockwaveFragment.glsl	float	u_time
SurfaceFragment.glsl	sampler2D	u_bloom
TimerFragment.glsl	vec4	u_bgColor
TimerFragment.glsl	float	u_edgeGradientFactor
TimerFragment.glsl	float	u_progress
TimerFragment.glsl	float	u_startingAngle
TimerFragment.glsl	vec2	u_texResolution
TintingFragment.glsl	vec4	u_tint
ToneCurveFragment.glsl	float	u_amount
ToneCurveFragment.glsl	sampler2D	u_toneCurveTexture
VoronoiPrismaticFragment.glsl	float	u_phase
VortexFragment.glsl	float	u_amplitude
VortexFragment.glsl	float	u_frequency
VortexFragment.glsl	float	u_fresnelBias
VortexFragment.glsl	float	u_radius
VortexFragment.glsl	float	u_reflection
VortexFragment.glsl	sampler2D	u_refractMap
VortexFragment.glsl	float	u_refraction
VortexFragment.glsl	vec2	u_resolution
VortexFragment.glsl	float	u_time
WaterFragment.glsl	float	u_amplitude
WaterFragment.glsl	sampler2D	u_depthMap
WaterFragment.glsl	float	u_frequency
WaterFragment.glsl	float	u_fresnelBias
WaterFragment.glsl	float	u_reflection
WaterFragment.glsl	sampler2D	u_refractMap
WaterFragment.glsl	float	u_refraction
WaterFragment.glsl	vec2	u_resolution
WaterFragment.glsl	float	u_time
WhiteCloudVignetteFragment.glsl	float	u_noiseAmount
WhiteCloudVignetteFragment.glsl	vec2	u_texResolution
WhiteCloudVignetteFragment.glsl	float	u_time
WhiteCloudVignetteFragment.glsl	float	u_vignetteAmount
WispLensFlareFragment.glsl	float	u_armLength
WispLensFlareFragment.glsl	float	u_flareSize
WispLensFlareFragment.glsl	float	u_pulseRate
WispLensFlareFragment.glsl	vec2	u_texResolution
WispLensFlareFragment.glsl	float	u_time
WispLensFlareFragment.glsl	float	u_wispSize
