attack	12	0,444,111,110,110,1,888,111,110,110,2,888,0,110,110,3,777,888,110,110,4,777,777,110,110,5,777,666,110,110,6,777,555,110,110,7,777,444,110,110,8,777,333,110,110,9,777,222,110,110,10,777,111,110,110,11,777,0,110,110,12,666,888,110,110,13,666,777,110,110,14,666,666,110,110,15,666,555,110,110,16,666,444,110,110,17,666,333,110,110,18,666,222,110,110,19,666,111,110,110,20,666,0,110,110,21,555,888,110,110
breathing	7	0,555,777,110,110,1,555,777,110,110,2,555,777,110,110,3,555,777,110,110,4,555,777,110,110,5,555,666,110,110,6,555,555,110,110,7,555,444,110,110,8,555,444,110,110,9,555,444,110,110,10,555,444,110,110,11,555,444,110,110,12,555,333,110,110,13,555,666,110,110
cast	12	0,555,222,110,110,1,555,111,110,110,2,555,0,110,110,3,444,888,110,110,4,444,777,110,110,5,444,666,110,110,6,444,555,110,110,7,444,444,110,110,8,444,333,110,110,9,444,222,110,110,10,444,111,110,110
castend	12	0,888,222,110,110,1,444,0,110,110,2,444,111,110,110
castloop	12	0,333,888,110,110,1,333,777,110,110,2,333,666,110,110,3,333,555,110,110,4,333,444,110,110,5,333,333,110,110
caststart	12	0,444,111,110,110,1,444,0,110,110,2,888,222,110,110
death	12	0,444,111,110,110,1,333,222,110,110,2,333,111,110,110,3,333,0,110,110,4,222,888,110,110,5,222,777,110,110,6,222,666,110,110,7,222,555,110,110,8,222,444,110,110,9,222,333,110,110,10,222,222,110,110,11,222,111,110,110,12,222,0,110,110,13,111,888,110,110,14,111,777,110,110,15,111,666,110,110,16,111,555,110,110,17,111,444,110,110
hit	12	0,444,111,110,110,1,333,222,110,110,2,333,111,110,110
idle	12	0,111,333,110,110,1,111,222,110,110,2,111,111,110,110,3,111,0,110,110,4,0,888,110,110,5,555,777,110,110,6,555,666,110,110,7,555,555,110,110,8,555,444,110,110
run	14	0,0,777,110,110,1,0,666,110,110,2,0,555,110,110,3,0,444,110,110,4,0,333,110,110,5,0,222,110,110,6,0,111,110,110,7,0,0,110,110
