attack	12	0,1179,0,130,130,1,1048,786,130,130,2,1441,262,130,130,3,1048,655,130,130,4,1048,524,130,130,5,1048,393,130,130,6,1048,262,130,130,7,1048,131,130,130,8,1048,0,130,130,9,917,786,130,130,10,917,655,130,130,11,917,524,130,130,12,917,393,130,130,13,917,262,130,130,14,917,131,130,130,15,917,0,130,130,16,786,786,130,130,17,786,655,130,130,18,786,524,130,130
breathing	8	0,131,262,130,130,1,131,262,130,130,2,131,131,130,130,3,131,131,130,130,4,131,0,130,130,5,0,786,130,130,6,0,655,130,130,7,0,524,130,130,8,0,393,130,130,9,0,393,130,130,10,0,262,130,130,11,0,262,130,130,12,0,131,130,130,13,0,0,130,130
castend	12	0,1441,131,130,130,1,1441,262,130,130,2,1441,393,130,130
casting	12	0,1441,0,130,130,1,1310,786,130,130,2,1310,655,130,130,3,1310,524,130,130,4,1310,393,130,130,5,1310,262,130,130,6,1310,131,130,130,7,1310,0,130,130,8,1179,786,130,130,9,1179,655,130,130,10,1179,524,130,130,11,1179,393,130,130,12,1179,262,130,130,13,1179,131,130,130
castloop	12	0,786,262,130,130,1,1572,393,130,130,2,1572,262,130,130,3,1572,131,130,130,4,1572,0,130,130,5,1441,786,130,130,6,1441,655,130,130,7,1441,524,130,130
caststart	12	0,1441,393,130,130,1,1441,262,130,130,2,1441,131,130,130
death	12	0,393,262,130,130,1,393,131,130,130,2,393,0,130,130,3,262,786,130,130,4,262,655,130,130,5,262,524,130,130,6,262,393,130,130,7,262,262,130,130,8,262,131,130,130,9,262,0,130,130,10,131,786,130,130,11,131,655,130,130,12,131,524,130,130,13,131,393,130,130
hit	12	0,393,262,130,130,1,393,131,130,130,2,393,0,130,130
idle	12	0,786,393,130,130,1,1572,524,130,130,2,786,131,130,130,3,786,0,130,130,4,655,786,130,130,5,655,655,130,130,6,655,524,130,130,7,655,393,130,130,8,655,262,130,130,9,655,131,130,130,10,655,0,130,130,11,524,786,130,130,12,524,655,130,130,13,524,524,130,130
run	12	0,524,393,130,130,1,524,262,130,130,2,524,131,130,130,3,524,0,130,130,4,393,786,130,130,5,393,655,130,130,6,393,524,130,130,7,393,393,130,130
